counterparty_id,n_txn,n_alerts,alert_rate_per_100,n_claims,claim_rate_per_100
CPTY00050,21,3,14.29,2,9.52
CPTY00043,28,4,14.29,0,0.0
CPTY00039,21,3,14.29,0,0.0
CPTY00011,21,3,14.29,0,0.0
CPTY00181,29,4,13.79,0,0.0
CPTY00176,29,4,13.79,1,3.45
CPTY00159,29,4,13.79,1,3.45
CPTY00028,29,4,13.79,0,0.0
CPTY00210,22,3,13.64,0,0.0
CPTY00165,22,3,13.64,0,0.0
CPTY00160,22,3,13.64,0,0.0
CPTY00016,22,3,13.64,2,9.09
CPTY00006,22,3,13.64,0,0.0
CPTY00140,15,2,13.33,0,0.0
CPTY00204,23,3,13.04,1,4.35
CPTY00162,23,3,13.04,0,0.0
CPTY00109,31,4,12.9,2,6.45
CPTY00242,24,3,12.5,0,0.0
CPTY00239,16,2,12.5,0,0.0
CPTY00219,16,2,12.5,0,0.0
CPTY00217,24,3,12.5,1,4.17
CPTY00211,24,3,12.5,0,0.0
CPTY00194,16,2,12.5,1,6.25
CPTY00133,32,4,12.5,0,0.0
CPTY00126,16,2,12.5,1,6.25
CPTY00103,16,2,12.5,0,0.0
CPTY00022,24,3,12.5,0,0.0
CPTY00048,33,4,12.12,0,0.0
CPTY00178,25,3,12.0,0,0.0
CPTY00163,25,3,12.0,0,0.0
CPTY00060,25,3,12.0,1,4.0
CPTY00216,17,2,11.76,0,0.0
CPTY00107,17,2,11.76,0,0.0
CPTY00030,17,2,11.76,0,0.0
CPTY00243,26,3,11.54,0,0.0
CPTY00185,26,3,11.54,1,3.85
CPTY00121,26,3,11.54,0,0.0
CPTY00104,26,3,11.54,0,0.0
CPTY00230,18,2,11.11,0,0.0
CPTY00197,27,3,11.11,2,7.41
CPTY00157,18,2,11.11,1,5.56
CPTY00139,27,3,11.11,0,0.0
CPTY00138,27,3,11.11,0,0.0
CPTY00076,27,3,11.11,1,3.7
CPTY00170,28,3,10.71,0,0.0
CPTY00256,19,2,10.53,1,5.26
CPTY00021,19,2,10.53,0,0.0
CPTY00250,29,3,10.34,0,0.0
CPTY00221,29,3,10.34,1,3.45
CPTY00105,29,3,10.34,3,10.34
CPTY00212,20,2,10.0,1,5.0
CPTY00070,20,2,10.0,1,5.0
CPTY00069,20,2,10.0,2,10.0
CPTY00044,20,2,10.0,1,5.0
CPTY00035,20,2,10.0,0,0.0
CPTY00135,31,3,9.68,0,0.0
CPTY00161,21,2,9.52,0,0.0
CPTY00213,32,3,9.38,0,0.0
CPTY00200,32,3,9.38,4,12.5
CPTY00188,32,3,9.38,1,3.13
CPTY00019,22,2,9.09,0,0.0
CPTY00246,23,2,8.7,0,0.0
CPTY00110,23,2,8.7,0,0.0
CPTY00227,24,2,8.33,2,8.33
CPTY00100,24,2,8.33,1,4.17
CPTY00031,24,2,8.33,2,8.33
CPTY00026,12,1,8.33,0,0.0
CPTY00012,24,2,8.33,2,8.33
CPTY00056,25,2,8.0,0,0.0
CPTY00053,26,2,7.69,0,0.0
CPTY00260,28,2,7.14,1,3.57
CPTY00149,14,1,7.14,1,7.14
CPTY00131,28,2,7.14,2,7.14
CPTY00228,15,1,6.67,0,0.0
CPTY00136,30,2,6.67,3,10.0
CPTY00189,32,2,6.25,0,0.0
CPTY00125,17,1,5.88,0,0.0
CPTY00009,17,1,5.88,0,0.0
CPTY00248,18,1,5.56,0,0.0
CPTY00101,18,1,5.56,0,0.0
CPTY00042,18,1,5.56,1,5.56
CPTY00154,19,1,5.26,0,0.0
CPTY00093,19,1,5.26,0,0.0
CPTY00074,19,1,5.26,0,0.0
CPTY00169,20,1,5.0,1,5.0
CPTY00150,20,1,5.0,0,0.0
CPTY00108,20,1,5.0,1,5.0
CPTY00075,20,1,5.0,0,0.0
CPTY00041,20,1,5.0,0,0.0
CPTY00032,20,1,5.0,0,0.0
CPTY00225,21,1,4.76,1,4.76
CPTY00208,21,1,4.76,3,14.29
CPTY00175,21,1,4.76,0,0.0
CPTY00255,22,1,4.55,1,4.55
CPTY00203,22,1,4.55,0,0.0
CPTY00199,22,1,4.55,1,4.55
CPTY00147,22,1,4.55,0,0.0
CPTY00047,23,1,4.35,1,4.35
CPTY00247,24,1,4.17,4,16.67
CPTY00134,24,1,4.17,0,0.0
CPTY00122,24,1,4.17,2,8.33
CPTY00025,24,1,4.17,1,4.17
CPTY00079,25,1,4.0,2,8.0
CPTY00080,26,1,3.85,0,0.0
CPTY00001,28,1,3.57,0,0.0
CPTY00183,29,1,3.45,2,6.9
CPTY00166,35,1,2.86,0,0.0
CPTY00241,20,0,0.0,1,5.0
CPTY00236,25,0,0.0,0,0.0
CPTY00229,22,0,0.0,1,4.55
CPTY00215,19,0,0.0,0,0.0
CPTY00198,19,0,0.0,0,0.0
CPTY00196,19,0,0.0,0,0.0
CPTY00091,22,0,0.0,0,0.0
CPTY00072,23,0,0.0,0,0.0
CPTY00071,15,0,0.0,0,0.0
CPTY00061,20,0,0.0,0,0.0
CPTY00055,19,0,0.0,0,0.0
CPTY00024,18,0,0.0,0,0.0
