payment_id,transaction_id,payment_date,amount,currency,payment_method,paying_entity_id,paying_entity_type,settlement_route
PAY0000052,TXN0000060,2025-02-01,9578.21,EUR,letter_of_credit,CUST00115,customer,direct
PAY0000053,TXN0000061,2023-03-20,5920.43,GBP,wire,CUST00174,customer,direct
PAY0000054,TXN0000062,2024-11-08,8087.44,USD,letter_of_credit,CUST00021,customer,direct
PAY0000055,TXN0000063,2023-06-11,89880.71,EUR,wire,CUST00038,customer,direct
PAY0000056,TXN0000064,2024-09-17,2530.64,USD,letter_of_credit,CUST00083,customer,direct
PAY0000057,TXN0000067,2023-12-20,2912821.3,USD,letter_of_credit,CUST00039,customer,direct
PAY0000058,TXN0000068,2024-03-28,18590.95,EUR,wire,CUST00076,customer,direct
PAY0000059,TXN0000069,2024-06-16,20745.82,EUR,wire,CUST00004,customer,direct
PAY0000060,TXN0000070,2023-02-20,35576.77,GBP,letter_of_credit,CUST00072,customer,direct
PAY0000061,TXN0000071,2023-12-08,119432.7,EUR,wire,CUST00137,customer,direct
PAY0000062,TXN0000072,2023-12-23,56910.05,GBP,wire,CUST00095,customer,direct
PAY0000063,TXN0000075,2022-02-14,3413.25,GBP,wire,CUST00171,customer,direct
PAY0000064,TXN0000076,2023-10-21,117832.78,USD,wire,CUST00094,customer,direct
PAY0000065,TXN0000078,2022-09-13,6259.47,EUR,documentary_collection,CUST00168,customer,direct
PAY0000066,TXN0000079,2023-08-05,3754.35,GBP,documentary_collection,CUST00029,customer,direct
PAY0000067,TXN0000080,2022-11-26,9557.76,EUR,documentary_collection,CUST00018,customer,direct
PAY0000068,TXN0000082,2023-02-23,122066.2,GBP,wire,INTM00010,intermediary,third_party
PAY0000069,TXN0000083,2024-02-02,59610.3,GBP,wire,CUST00037,customer,direct
PAY0000070,TXN0000084,2023-03-15,44517.57,USD,letter_of_credit,CUST00022,customer,direct
PAY0000071,TXN0000085,2024-06-18,5944.67,USD,wire,CUST00159,customer,direct
PAY0000072,TXN0000086,2022-07-20,1584990.25,GBP,documentary_collection,CUST00111,customer,direct
PAY0000073,TXN0000087,2022-05-27,87214.27,GBP,letter_of_credit,INTM00016,intermediary,third_party
PAY0000074,TXN0000088,2022-07-23,3364.43,GBP,documentary_collection,CUST00022,customer,direct
PAY0000075,TXN0000089,2024-11-11,20391935.45,USD,letter_of_credit,CUST00062,customer,direct
PAY0000076,TXN0000090,2022-11-21,5326.98,USD,wire,CUST00112,customer,direct
PAY0000077,TXN0000091,2022-03-03,19273820.71,USD,letter_of_credit,CUST00096,customer,direct
PAY0000078,TXN0000093,2024-02-22,26686.1,GBP,wire,CUST00121,customer,direct
PAY0000079,TXN0000094,2023-02-28,109290.23,GBP,letter_of_credit,CUST00075,customer,direct
PAY0000080,TXN0000095,2023-04-07,17530.86,EUR,wire,CUST00141,customer,direct
PAY0000081,TXN0000096,2022-05-11,14054.39,USD,wire,CUST00047,customer,direct
PAY0000082,TXN0000097,2024-02-04,505182.38,GBP,letter_of_credit,CUST00015,customer,direct
PAY0000083,TXN0000098,2022-09-17,157881.15,USD,wire,CUST00165,customer,direct
PAY0000084,TXN0000099,2022-05-31,133402.47,USD,wire,CUST00005,customer,direct
PAY0000085,TXN0000101,2024-11-23,1828.27,GBP,letter_of_credit,CUST00021,customer,direct
PAY0000086,TXN0000102,2023-11-17,14060.46,USD,documentary_collection,CUST00042,customer,direct
PAY0000087,TXN0000103,2024-11-23,1666.15,USD,wire,CUST00072,customer,direct
PAY0000088,TXN0000105,2023-08-04,2917.68,GBP,wire,CUST00085,customer,direct
PAY0000089,TXN0000106,2023-02-23,567464.38,GBP,wire,CUST00167,customer,direct
PAY0000090,TXN0000107,2023-08-21,62598.34,USD,wire,CUST00025,customer,direct
PAY0000091,TXN0000108,2024-09-26,6146.5,GBP,wire,CUST00167,customer,direct
PAY0000092,TXN0000109,2024-01-02,164492.13,GBP,documentary_collection,CUST00075,customer,direct
PAY0000093,TXN0000111,2023-10-18,167958.5,EUR,wire,CUST00080,customer,direct
PAY0000094,TXN0000113,2023-09-13,95627.52,GBP,letter_of_credit,CUST00020,customer,direct
PAY0000095,TXN0000114,2023-10-13,5578.46,GBP,wire,CUST00107,customer,direct
PAY0000096,TXN0000116,2024-08-21,8290.58,EUR,letter_of_credit,CUST00094,customer,direct
PAY0000097,TXN0000117,2024-08-22,1746443.3,EUR,wire,CUST00108,customer,direct
PAY0000098,TXN0000118,2025-01-07,27627.63,GBP,wire,CUST00116,customer,direct
PAY0000099,TXN0000119,2023-11-12,357.44,GBP,wire,CUST00070,customer,direct
PAY0000100,TXN0000120,2022-11-24,168.46,GBP,wire,CUST00022,customer,direct
PAY0000101,TXN0000121,2022-08-24,6807.63,USD,wire,CUST00092,customer,direct
PAY0000102,TXN0000123,2024-11-05,13618.39,GBP,documentary_collection,CUST00057,customer,direct
PAY0000103,TXN0000124,2022-03-25,136158.7,USD,letter_of_credit,CUST00157,customer,direct
PAY0000104,TXN0000125,2022-09-27,3359.07,GBP,wire,CUST00154,customer,direct
PAY0000105,TXN0000126,2024-02-06,85328.58,USD,documentary_collection,CUST00045,customer,direct
PAY0000106,TXN0000128,2022-03-30,81784.08,GBP,wire,CUST00135,customer,direct
PAY0000107,TXN0000129,2025-02-06,141266.96,GBP,wire,CUST00090,customer,direct
PAY0000108,TXN0000130,2022-05-14,5208247.93,GBP,letter_of_credit,CUST00126,customer,direct
PAY0000109,TXN0000131,2022-09-22,16823.1,GBP,letter_of_credit,CUST00164,customer,direct
PAY0000110,TXN0000132,2025-01-05,1478.1,USD,wire,CUST00113,customer,direct
PAY0000111,TXN0000133,2022-06-02,653.95,USD,documentary_collection,CUST00151,customer,direct
PAY0000112,TXN0000134,2024-06-13,25084.43,USD,wire,CUST00145,customer,direct
PAY0000113,TXN0000136,2023-09-03,40428.07,EUR,wire,CUST00154,customer,direct
PAY0000114,TXN0000137,2024-07-14,15383.96,EUR,wire,CUST00041,customer,direct
PAY0000115,TXN0000138,2022-02-27,2851.28,USD,wire,CUST00004,customer,direct
PAY0000116,TXN0000139,2022-03-31,172751.57,USD,wire,CUST00028,customer,direct
PAY0000117,TXN0000140,2022-09-11,1548.46,USD,wire,CUST00045,customer,direct
PAY0000118,TXN0000141,2023-07-27,286499.13,USD,wire,CUST00125,customer,direct
PAY0000119,TXN0000142,2024-12-02,3953.52,GBP,letter_of_credit,CUST00092,customer,direct
PAY0000120,TXN0000143,2022-04-01,2047939.39,USD,wire,CUST00085,customer,direct
PAY0000121,TXN0000144,2023-05-04,15690.82,GBP,letter_of_credit,CUST00002,customer,direct
PAY0000122,TXN0000145,2023-05-26,31439.11,USD,documentary_collection,CUST00124,customer,direct
PAY0000123,TXN0000147,2023-01-24,17712.52,EUR,wire,CUST00137,customer,direct
PAY0000124,TXN0000148,2022-09-05,5562.71,GBP,letter_of_credit,CUST00021,customer,direct
PAY0000125,TXN0000149,2022-06-29,68767852.78,USD,wire,CUST00054,customer,direct
PAY0000126,TXN0000150,2023-08-28,4830.74,USD,letter_of_credit,CUST00010,customer,direct
PAY0000127,TXN0000151,2024-11-25,77634.67,EUR,wire,CUST00052,customer,direct
PAY0000128,TXN0000152,2023-04-08,2567.29,EUR,letter_of_credit,CUST00167,customer,direct
PAY0000129,TXN0000153,2023-12-07,24498.17,GBP,letter_of_credit,CUST00089,customer,direct
PAY0000130,TXN0000154,2024-01-29,6939.55,EUR,wire,CUST00080,customer,direct
PAY0000131,TXN0000156,2024-07-30,179462.83,EUR,wire,CUST00048,customer,direct
PAY0000132,TXN0000157,2024-10-19,21215.3,USD,wire,CUST00121,customer,direct
PAY0000133,TXN0000159,2024-11-07,97417.08,GBP,letter_of_credit,CUST00135,customer,direct
PAY0000134,TXN0000160,2024-12-09,356707.57,GBP,wire,CUST00133,customer,direct
PAY0000135,TXN0000161,2024-05-03,359694.65,GBP,letter_of_credit,CUST00085,customer,direct
PAY0000136,TXN0000162,2023-07-15,14419.65,USD,wire,CUST00018,customer,direct
PAY0000137,TXN0000163,2022-12-29,15146.64,EUR,documentary_collection,CUST00131,customer,direct
PAY0000138,TXN0000164,2023-10-10,6850087.56,USD,wire,CUST00146,customer,direct
PAY0000139,TXN0000165,2024-07-24,145695.04,GBP,wire,CUST00092,customer,direct
PAY0000140,TXN0000166,2024-04-25,214461.08,USD,wire,CUST00017,customer,direct
PAY0000141,TXN0000168,2022-04-12,9695.55,GBP,letter_of_credit,CUST00166,customer,direct
PAY0000142,TXN0000169,2022-11-04,137190.13,USD,wire,CUST00041,customer,direct
PAY0000143,TXN0000170,2023-10-05,108421.34,USD,letter_of_credit,CUST00029,customer,direct
PAY0000144,TXN0000171,2023-03-27,13934.88,USD,documentary_collection,CUST00133,customer,direct
PAY0000145,TXN0000172,2023-06-01,67890.15,USD,letter_of_credit,CUST00060,customer,direct
PAY0000146,TXN0000173,2023-01-02,3636.42,GBP,wire,CUST00129,customer,direct
PAY0000147,TXN0000174,2022-04-26,316676.9,GBP,letter_of_credit,CUST00127,customer,direct
PAY0000148,TXN0000175,2023-07-09,50134.13,USD,letter_of_credit,CUST00048,customer,direct
PAY0000149,TXN0000176,2023-06-06,6303.66,EUR,wire,CUST00008,customer,direct
PAY0000150,TXN0000177,2024-06-11,331746.74,GBP,wire,CUST00101,customer,direct
PAY0000151,TXN0000178,2022-05-27,1033.47,USD,wire,CUST00074,customer,direct
PAY0000152,TXN0000179,2023-07-11,65458.89,USD,wire,CUST00154,customer,direct
PAY0000153,TXN0000180,2024-08-12,1191.36,GBP,wire,CUST00065,customer,direct
PAY0000154,TXN0000181,2022-12-03,9619953.26,GBP,letter_of_credit,CUST00045,customer,direct
PAY0000155,TXN0000182,2023-01-07,760896.94,GBP,letter_of_credit,CUST00155,customer,direct
PAY0000156,TXN0000183,2022-04-29,218032.21,GBP,letter_of_credit,CUST00133,customer,direct
PAY0000157,TXN0000184,2023-10-13,234629.13,GBP,wire,CUST00112,customer,direct
PAY0000158,TXN0000185,2024-08-22,498277.65,USD,wire,CUST00172,customer,direct
PAY0000159,TXN0000186,2023-07-02,29050.85,USD,wire,CUST00141,customer,direct
PAY0000160,TXN0000187,2023-05-02,732303.6,USD,wire,CUST00156,customer,direct
PAY0000161,TXN0000188,2024-05-10,110004.51,GBP,wire,CUST00144,customer,direct
PAY0000162,TXN0000189,2023-05-31,75031.73,GBP,wire,CUST00073,customer,direct
PAY0000163,TXN0000191,2024-05-23,27738.58,EUR,documentary_collection,CUST00110,customer,direct
PAY0000164,TXN0000192,2022-12-11,1666339.04,USD,documentary_collection,INTM00030,intermediary,third_party
PAY0000165,TXN0000193,2024-08-25,410423.75,GBP,letter_of_credit,CUST00179,customer,direct
PAY0000166,TXN0000194,2022-11-25,85954.79,EUR,wire,CUST00123,customer,direct
PAY0000167,TXN0000195,2023-08-09,63885.96,USD,wire,CUST00103,customer,direct
PAY0000168,TXN0000197,2023-12-08,1893151.64,GBP,wire,CUST00021,customer,direct
PAY0000169,TXN0000198,2023-05-17,6309.28,GBP,wire,CUST00002,customer,direct
PAY0000170,TXN0000199,2022-10-08,385953.2,USD,wire,CUST00009,customer,direct
PAY0000171,TXN0000200,2024-04-17,3353.86,USD,letter_of_credit,CUST00163,customer,direct
PAY0000172,TXN0000201,2024-11-14,4130.99,GBP,wire,CUST00143,customer,direct
PAY0000173,TXN0000202,2022-03-13,58487.71,GBP,wire,CUST00047,customer,direct
PAY0000174,TXN0000203,2023-09-27,2921203.06,GBP,wire,CUST00077,customer,direct
PAY0000175,TXN0000206,2022-10-07,6701.59,GBP,wire,CUST00077,customer,direct
PAY0000176,TXN0000208,2023-08-17,48970.45,EUR,wire,CUST00126,customer,direct
PAY0000177,TXN0000209,2024-01-03,42344.1,GBP,wire,CUST00137,customer,direct
PAY0000178,TXN0000210,2022-11-27,15248.88,USD,wire,INTM00017,intermediary,third_party
PAY0000179,TXN0000211,2023-02-19,3771.51,GBP,wire,CUST00084,customer,direct
PAY0000180,TXN0000212,2023-09-20,5588.47,GBP,documentary_collection,CUST00179,customer,direct
PAY0000181,TXN0000214,2023-07-20,114587.02,EUR,wire,CUST00143,customer,direct
PAY0000182,TXN0000215,2024-01-28,105777.36,GBP,wire,CUST00133,customer,direct
PAY0000183,TXN0000216,2024-12-24,2297523.29,GBP,wire,CUST00001,customer,direct
PAY0000184,TXN0000218,2022-01-27,9988.38,USD,letter_of_credit,CUST00133,customer,direct
PAY0000185,TXN0000219,2023-01-30,3694.05,GBP,letter_of_credit,CUST00160,customer,direct
PAY0000186,TXN0000220,2022-01-24,95449.73,GBP,wire,CUST00164,customer,direct
PAY0000187,TXN0000221,2024-09-15,229239.71,GBP,wire,CUST00046,customer,direct
PAY0000188,TXN0000222,2024-01-17,15540.14,USD,wire,CUST00003,customer,direct
PAY0000189,TXN0000223,2022-09-18,2556.11,EUR,wire,CUST00119,customer,direct
PAY0000190,TXN0000224,2024-08-14,89764.12,GBP,wire,CUST00083,customer,direct
PAY0000191,TXN0000225,2023-10-09,56817.98,USD,documentary_collection,INTM00041,intermediary,third_party
PAY0000192,TXN0000226,2022-03-24,147111.89,USD,documentary_collection,CUST00049,customer,direct
PAY0000193,TXN0000227,2022-07-06,760336.24,GBP,letter_of_credit,CUST00179,customer,direct
PAY0000194,TXN0000228,2024-06-27,1424.75,EUR,letter_of_credit,CUST00066,customer,direct
PAY0000195,TXN0000229,2022-12-25,47230.87,USD,wire,CUST00047,customer,direct
PAY0000196,TXN0000230,2023-08-15,5671.83,USD,documentary_collection,CUST00118,customer,direct
PAY0000197,TXN0000231,2024-10-03,660225.98,USD,documentary_collection,CUST00120,customer,direct
PAY0000198,TXN0000232,2022-12-24,13846.77,GBP,letter_of_credit,CUST00060,customer,direct
PAY0000199,TXN0000233,2022-02-11,27960.59,GBP,wire,CUST00153,customer,direct
PAY0000200,TXN0000234,2022-05-03,5803.7,GBP,letter_of_credit,CUST00105,customer,direct
PAY0000201,TXN0000236,2023-11-25,37916.6,EUR,wire,CUST00059,customer,direct
PAY0000202,TXN0000237,2023-01-31,13509.13,GBP,documentary_collection,CUST00153,customer,direct
PAY0000203,TXN0000238,2022-04-30,189790.51,GBP,letter_of_credit,CUST00017,customer,direct
PAY0000204,TXN0000239,2024-02-20,2641.31,GBP,letter_of_credit,CUST00003,customer,direct
PAY0000205,TXN0000240,2022-03-19,13555.29,EUR,wire,CUST00119,customer,direct
PAY0000206,TXN0000242,2023-10-24,8071.66,EUR,letter_of_credit,CUST00046,customer,direct
PAY0000207,TXN0000243,2023-12-25,12986.75,GBP,wire,CUST00085,customer,direct
PAY0000208,TXN0000244,2023-10-22,7351.9,GBP,wire,CUST00034,customer,direct
PAY0000209,TXN0000245,2024-10-03,19249.1,GBP,documentary_collection,CUST00068,customer,direct
PAY0000210,TXN0000246,2022-11-07,529659.27,GBP,wire,CUST00043,customer,direct
PAY0000211,TXN0000247,2023-09-30,173231.31,GBP,wire,CUST00106,customer,direct
PAY0000212,TXN0000248,2022-12-26,1292.95,EUR,wire,CUST00122,customer,direct
PAY0000213,TXN0000249,2023-03-07,9983.17,USD,wire,CUST00165,customer,direct
PAY0000214,TXN0000251,2024-07-02,25865.35,USD,letter_of_credit,CUST00059,customer,direct
PAY0000215,TXN0000252,2024-03-16,272861.77,GBP,documentary_collection,CUST00048,customer,direct
PAY0000216,TXN0000256,2024-06-18,22384.28,USD,documentary_collection,CUST00166,customer,direct
PAY0000217,TXN0000257,2024-01-21,267865.64,GBP,letter_of_credit,CUST00140,customer,direct
PAY0000218,TXN0000258,2022-03-15,7466.03,GBP,documentary_collection,CUST00036,customer,direct
PAY0000219,TXN0000259,2024-01-23,23941.53,GBP,documentary_collection,CUST00008,customer,direct
PAY0000220,TXN0000260,2025-01-16,1641.44,GBP,documentary_collection,CUST00162,customer,direct
PAY0000221,TXN0000261,2024-04-21,1501029.9,GBP,wire,CUST00170,customer,direct
PAY0000222,TXN0000262,2022-11-29,5519.42,GBP,documentary_collection,CUST00046,customer,direct
PAY0000223,TXN0000263,2023-01-05,7257.99,EUR,documentary_collection,CUST00009,customer,direct
PAY0000224,TXN0000264,2024-05-02,26325767.77,EUR,wire,CUST00123,customer,direct
PAY0000225,TXN0000265,2023-04-06,40371.1,GBP,documentary_collection,CUST00106,customer,direct
PAY0000226,TXN0000266,2024-04-19,20125.14,EUR,wire,CUST00160,customer,direct
PAY0000227,TXN0000268,2023-04-11,8285.57,GBP,documentary_collection,CUST00137,customer,direct
PAY0000228,TXN0000269,2023-10-13,106241.6,EUR,wire,CUST00142,customer,direct
PAY0000229,TXN0000270,2023-07-21,9746.33,EUR,wire,CUST00002,customer,direct
PAY0000230,TXN0000272,2022-04-26,2117.9,USD,wire,CUST00141,customer,direct
PAY0000231,TXN0000273,2025-01-17,118477.77,GBP,documentary_collection,CUST00033,customer,direct
PAY0000232,TXN0000274,2023-09-07,126287.66,USD,letter_of_credit,CUST00038,customer,direct
PAY0000233,TXN0000275,2022-09-22,2128483.94,USD,documentary_collection,CUST00136,customer,direct
PAY0000234,TXN0000276,2023-11-04,22493.43,USD,wire,CUST00037,customer,direct
PAY0000235,TXN0000277,2023-04-25,17933.18,GBP,wire,CUST00027,customer,direct
PAY0000236,TXN0000278,2024-07-29,47674.02,USD,documentary_collection,CUST00003,customer,direct
PAY0000237,TXN0000279,2024-05-24,215998.14,USD,wire,CUST00085,customer,direct
PAY0000238,TXN0000280,2023-03-23,13765.46,USD,letter_of_credit,CUST00115,customer,direct
PAY0000239,TXN0000281,2024-03-11,36586.93,GBP,documentary_collection,CUST00132,customer,direct
PAY0000240,TXN0000282,2022-03-19,428118.05,GBP,wire,CUST00164,customer,direct
PAY0000241,TXN0000283,2024-12-18,19111090.17,GBP,wire,CUST00118,customer,direct
PAY0000242,TXN0000284,2023-08-18,71029.44,USD,wire,CUST00137,customer,direct
PAY0000243,TXN0000285,2024-01-13,2168.81,GBP,letter_of_credit,CUST00038,customer,direct
PAY0000244,TXN0000286,2023-12-24,101252.48,EUR,wire,CUST00062,customer,direct
PAY0000245,TXN0000287,2022-12-27,901195.45,USD,documentary_collection,CUST00055,customer,direct
PAY0000246,TXN0000288,2024-03-02,4019.0,GBP,letter_of_credit,CUST00012,customer,direct
PAY0000247,TXN0000290,2024-02-01,174287.82,GBP,documentary_collection,CUST00044,customer,direct
PAY0000248,TXN0000291,2022-04-28,18713.45,GBP,letter_of_credit,CUST00081,customer,direct
PAY0000249,TXN0000292,2022-07-14,11232.85,GBP,documentary_collection,CUST00065,customer,direct
PAY0000250,TXN0000293,2024-11-09,1043.21,USD,wire,CUST00009,customer,direct
PAY0000251,TXN0000294,2024-04-27,1762477.67,EUR,wire,CUST00163,customer,direct
PAY0000252,TXN0000295,2022-06-01,868518.55,GBP,wire,CUST00040,customer,direct
PAY0000253,TXN0000296,2022-09-17,26526517.08,USD,wire,CUST00019,customer,direct
PAY0000254,TXN0000297,2023-09-07,4730.54,GBP,wire,CUST00062,customer,direct
PAY0000255,TXN0000298,2022-01-26,34345.13,GBP,wire,CUST00026,customer,direct
PAY0000256,TXN0000300,2023-01-24,35425.05,USD,wire,CUST00035,customer,direct
PAY0000257,TXN0000301,2022-06-09,414820.72,EUR,wire,CUST00055,customer,direct
PAY0000258,TXN0000302,2022-12-21,1411.93,USD,documentary_collection,CUST00049,customer,direct
PAY0000259,TXN0000303,2022-12-16,169843.76,GBP,wire,CUST00005,customer,direct
PAY0000260,TXN0000304,2022-03-28,12229.89,GBP,wire,CUST00003,customer,direct
PAY0000261,TXN0000305,2024-01-04,451.02,GBP,wire,CUST00093,customer,direct
PAY0000262,TXN0000306,2022-12-03,323852.08,EUR,wire,CUST00042,customer,direct
PAY0000263,TXN0000307,2022-03-16,134069.3,USD,documentary_collection,CUST00016,customer,direct
PAY0000264,TXN0000308,2022-02-20,280893.94,GBP,wire,CUST00053,customer,direct
PAY0000265,TXN0000309,2024-12-09,33236.69,GBP,wire,CUST00050,customer,direct
PAY0000266,TXN0000310,2022-05-28,1353846.54,GBP,letter_of_credit,CUST00077,customer,direct
PAY0000267,TXN0000311,2024-10-27,59845.21,USD,wire,CUST00179,customer,direct
PAY0000268,TXN0000312,2022-07-20,1061152.16,GBP,letter_of_credit,CUST00056,customer,direct
PAY0000269,TXN0000313,2022-05-10,950.38,EUR,wire,CUST00127,customer,direct
PAY0000270,TXN0000314,2023-09-05,24220.99,GBP,documentary_collection,CUST00139,customer,direct
PAY0000271,TXN0000315,2024-09-12,46377.26,USD,documentary_collection,CUST00010,customer,direct
PAY0000272,TXN0000316,2022-04-27,1151010.96,GBP,wire,CUST00091,customer,direct
PAY0000273,TXN0000317,2023-01-20,11450605.74,GBP,wire,CUST00081,customer,direct
PAY0000274,TXN0000318,2024-04-21,7016.36,GBP,letter_of_credit,CUST00092,customer,direct
PAY0000275,TXN0000319,2022-04-24,3803.36,GBP,wire,CUST00031,customer,direct
PAY0000276,TXN0000320,2022-08-04,868679.92,EUR,wire,CUST00084,customer,direct
PAY0000277,TXN0000321,2022-12-27,30633750.68,USD,wire,CUST00023,customer,direct
PAY0000278,TXN0000322,2024-06-20,355926.38,GBP,wire,CUST00171,customer,direct
PAY0000279,TXN0000323,2024-06-23,314.48,USD,wire,CUST00106,customer,direct
PAY0000280,TXN0000324,2024-03-24,988689.48,USD,wire,CUST00007,customer,direct
PAY0000281,TXN0000325,2024-02-05,48734.33,USD,wire,CUST00092,customer,direct
PAY0000282,TXN0000326,2022-03-13,27596003.73,GBP,letter_of_credit,CUST00167,customer,direct
PAY0000283,TXN0000327,2022-10-03,5771.07,GBP,wire,CUST00134,customer,direct
PAY0000284,TXN0000328,2024-10-17,506673.84,GBP,wire,CUST00050,customer,direct
PAY0000285,TXN0000329,2024-04-07,3822422.12,EUR,wire,CUST00161,customer,direct
PAY0000286,TXN0000330,2022-10-18,41827.4,GBP,wire,CUST00034,customer,direct
PAY0000287,TXN0000331,2024-03-04,2594.85,USD,wire,CUST00045,customer,direct
PAY0000288,TXN0000332,2024-03-15,85461.25,EUR,wire,CUST00028,customer,direct
PAY0000289,TXN0000333,2024-04-29,15960.43,GBP,wire,CUST00167,customer,direct
PAY0000290,TXN0000334,2025-01-05,1312.29,GBP,wire,CUST00130,customer,direct
PAY0000291,TXN0000335,2023-09-26,8231.8,GBP,wire,CUST00094,customer,direct
PAY0000292,TXN0000336,2022-04-07,57605.07,USD,wire,CUST00121,customer,direct
PAY0000293,TXN0000337,2024-07-23,1545.7,GBP,wire,CUST00047,customer,direct
PAY0000294,TXN0000338,2022-01-29,625.43,GBP,wire,CUST00013,customer,direct
PAY0000295,TXN0000339,2024-01-10,17211.31,GBP,wire,CUST00153,customer,direct
PAY0000296,TXN0000340,2024-06-02,87351.11,USD,wire,CUST00174,customer,direct
PAY0000297,TXN0000341,2022-06-28,94901.95,USD,wire,CUST00007,customer,direct
