shipment_id,transaction_id,origin_country_id,destination_country_id,departure_date,arrival_date,declared_weight_kg,declared_value,mode,container_ref
SHIP0000036,TXN0000036,SG,GB,2024-05-16,2024-05-28,542449.6,46460.3,sea,CNT707434
SHIP0000037,TXN0000037,GB,GB,2023-01-26,2023-02-24,5244.2,9199.95,air,CNT365499
SHIP0000038,TXN0000038,QA,GB,2024-11-25,2024-12-01,3176.3,877779.97,sea,CNT446851
SHIP0000039,TXN0000039,GB,CN,2024-07-09,2024-07-29,3862909.1,9538.8,road,CNT331074
SHIP0000040,TXN0000040,NL,GB,2022-10-11,2022-11-02,2263.0,40636.35,air,CNT721992
SHIP0000041,TXN0000042,GB,QA,2024-10-12,2024-11-01,841161.2,7205.72,road,CNT833595
SHIP0000042,TXN0000043,AE,GB,2023-05-25,2023-06-21,3140977.0,1918.88,sea,CNT443192
SHIP0000043,TXN0000044,EG,GB,2023-02-17,2023-03-13,333392.8,2417.23,sea,CNT643802
SHIP0000044,TXN0000045,GB,JP,2024-09-26,2024-10-26,1046.6,16186.49,sea,CNT795172
SHIP0000045,TXN0000046,GB,KR,2023-12-27,2024-01-28,115416.4,432369.05,sea,CNT488029
SHIP0000046,TXN0000047,SA,GB,2023-05-08,2023-05-31,19811.5,295492.27,air,CNT818465
SHIP0000047,TXN0000048,GB,US,2024-08-17,2024-09-11,28813.7,2534.88,sea,CNT255660
SHIP0000048,TXN0000050,GB,ES,2023-01-22,2023-02-09,3250.5,101142.79,sea,CNT579532
SHIP0000049,TXN0000051,MY,GB,2023-04-17,2023-05-06,8794.7,50988.57,sea,CNT884945
SHIP0000050,TXN0000052,FR,GB,2022-02-23,2022-02-28,718124.4,26334059.98,air,CNT379255
SHIP0000051,TXN0000053,GB,IT,2022-04-24,2022-05-24,870628.3,6079.31,sea,CNT998463
SHIP0000052,TXN0000054,US,GB,2024-11-20,2024-11-30,500121.8,42688649.88,sea,CNT697230
SHIP0000053,TXN0000056,GB,SA,2024-07-09,2024-07-23,22126.5,1748038.27,sea,CNT903678
SHIP0000054,TXN0000057,GB,GH,2022-08-26,2022-09-09,119092.9,6025.71,air,CNT470426
SHIP0000055,TXN0000058,GB,PT,2023-08-25,2023-09-17,4128.8,138218.59,sea,CNT859747
SHIP0000056,TXN0000059,IN,GB,2024-03-11,2024-04-10,1482.6,3135.58,sea,CNT874337
SHIP0000057,TXN0000060,GB,US,2024-12-24,2024-12-29,3063553.2,9578.21,road,CNT969405
SHIP0000058,TXN0000061,GB,AE,2023-02-19,2023-02-28,3969811.5,5920.43,sea,CNT885525
SHIP0000059,TXN0000062,GB,PL,2024-10-15,2024-11-04,1367711.2,8087.44,sea,CNT534378
SHIP0000060,TXN0000064,GB,IT,2024-08-13,2024-08-19,1036053.3,2530.64,road,CNT563143
SHIP0000061,TXN0000065,SG,GB,2022-04-28,2022-05-26,130353.7,3770.28,sea,CNT835131
SHIP0000062,TXN0000066,GB,QA,2022-10-23,2022-10-28,511433.2,787.27,sea,CNT576812
SHIP0000063,TXN0000067,IT,GB,2023-11-22,2023-12-10,337049.0,2912821.3,sea,CNT708748
SHIP0000064,TXN0000068,FR,GB,2024-02-17,2024-03-21,71.9,18590.95,sea,CNT257666
SHIP0000065,TXN0000069,JP,GB,2024-06-08,2024-06-19,14374.0,20745.82,sea,CNT378694
SHIP0000066,TXN0000070,GB,AU,2023-01-31,2023-01-29,3096.0,35576.77,sea,CNT685420
SHIP0000067,TXN0000071,PL,GB,2023-11-19,2023-12-13,4435.5,119432.7,road,CNT780478
SHIP0000068,TXN0000072,FR,GB,2023-11-19,2023-12-01,3163.4,56910.05,sea,CNT788551
SHIP0000069,TXN0000073,GB,TR,2024-12-23,2025-01-05,615077.1,598.01,sea,CNT681932
SHIP0000070,TXN0000074,GB,SG,2022-05-12,2022-06-11,72301.9,9668.59,sea,CNT129450
SHIP0000071,TXN0000075,GB,PT,2022-01-26,2022-02-14,801829.9,3413.25,air,CNT202644
SHIP0000072,TXN0000076,NG,GB,2023-09-25,2023-10-24,1189.0,117832.78,sea,CNT909783
SHIP0000073,TXN0000077,GB,AE,2022-01-23,2022-02-23,456139.3,6117.52,road,CNT166022
SHIP0000074,TXN0000078,AE,GB,2022-08-11,2022-08-16,628883.5,6259.47,sea,CNT141742
SHIP0000075,TXN0000079,IT,GB,2023-07-06,2023-07-28,771696.0,3754.35,sea,CNT226323
SHIP0000076,TXN0000080,EG,GB,2022-10-28,2022-11-09,284850.0,9557.76,sea,CNT131756
SHIP0000077,TXN0000081,VN,GB,2022-10-26,2022-11-29,826087.3,1196.72,sea,CNT425575
SHIP0000078,TXN0000082,TR,GB,2023-01-24,2023-02-25,1852.8,122066.2,road,CNT853270
SHIP0000079,TXN0000083,GB,EG,2024-01-27,2024-02-06,1307.6,59610.3,air,CNT341430
SHIP0000080,TXN0000084,GB,ES,2023-02-07,2023-03-11,502.0,44517.57,air,CNT865114
SHIP0000081,TXN0000085,QA,GB,2024-05-27,2024-06-20,163800.9,5944.67,air,CNT560379
SHIP0000082,TXN0000086,GB,IE,2022-06-27,2022-07-25,174280.2,1584990.25,sea,CNT135298
SHIP0000083,TXN0000087,DE,GB,2022-04-25,2022-05-17,2298.4,87214.27,sea,CNT104704
SHIP0000084,TXN0000088,GB,KR,2022-07-05,,2431178.4,3364.43,sea,CNT535890
SHIP0000085,TXN0000089,GB,BR,2024-10-11,2024-11-05,3278283.0,20391935.45,sea,CNT616345
SHIP0000086,TXN0000090,TH,GB,2022-11-05,2022-12-01,329.6,5326.98,air,CNT101512
SHIP0000087,TXN0000091,GB,GB,2022-02-06,2022-02-11,2827240.3,19273820.71,air,CNT429696
SHIP0000088,TXN0000092,US,GB,2022-12-16,2023-01-13,1336573.6,5842.93,sea,CNT352138
SHIP0000089,TXN0000093,GB,GH,2024-02-03,2024-03-08,107868.1,26686.1,sea,CNT832432
SHIP0000090,TXN0000094,GB,GB,2023-02-05,2023-02-24,11187.3,109290.23,air,CNT529943
SHIP0000091,TXN0000095,DE,GB,2023-02-28,2023-03-05,2762.0,17530.86,road,CNT597966
SHIP0000092,TXN0000097,GB,KE,2024-01-05,2024-01-26,117743.8,505182.38,sea,CNT989362
SHIP0000093,TXN0000098,TR,GB,2022-09-03,2022-09-19,144.0,157881.15,sea,CNT804861
SHIP0000094,TXN0000099,GB,MY,2022-04-27,2022-05-06,325.1,133402.47,sea,CNT273145
SHIP0000095,TXN0000100,NL,GB,2024-02-26,2024-03-03,918415.7,7572.41,sea,CNT532948
SHIP0000096,TXN0000101,GB,IN,2024-10-29,2024-11-04,518328.5,1828.27,air,CNT685480
SHIP0000097,TXN0000102,VN,GB,2023-11-08,2023-11-16,12884.1,14060.46,road,CNT268198
SHIP0000098,TXN0000103,GB,PL,2024-11-02,2024-12-04,2253326.8,1666.15,sea,CNT912044
SHIP0000099,TXN0000104,FR,GB,2023-03-22,2023-04-15,2184343.8,39553257.61,air,CNT504395
SHIP0000100,TXN0000105,FR,GB,2023-07-28,2023-08-16,1983916.0,2917.68,sea,CNT222265
SHIP0000101,TXN0000106,GB,DE,2023-02-03,2023-02-19,36848.8,567464.38,sea,CNT261216
SHIP0000102,TXN0000107,GB,TR,2023-07-19,2023-08-05,1546344.4,62598.34,sea,CNT601003
SHIP0000103,TXN0000108,GB,AE,2024-09-09,2024-09-14,361.6,6146.5,sea,CNT394935
SHIP0000104,TXN0000109,TR,GB,2023-12-03,2023-12-21,2174.7,164492.13,road,CNT389454
SHIP0000105,TXN0000110,JP,GB,2022-02-06,2022-03-01,14021.2,50777.16,sea,CNT665091
SHIP0000106,TXN0000111,GB,BR,2023-10-01,2023-10-25,3201.4,167958.5,air,CNT921435
SHIP0000107,TXN0000112,GB,KR,2023-02-23,2023-03-03,4445.1,3902.51,sea,CNT228677
SHIP0000108,TXN0000113,CN,GB,2023-08-26,2023-09-06,1990.6,95627.52,road,CNT500861
SHIP0000109,TXN0000114,GB,PL,2023-09-07,2023-10-01,11441.1,5578.46,sea,CNT823243
SHIP0000110,TXN0000115,GB,EG,2023-10-15,2023-11-06,871558.2,9923.97,sea,CNT373651
SHIP0000111,TXN0000116,CA,GB,2024-08-16,2024-09-11,2819775.1,8290.58,air,CNT425469
SHIP0000112,TXN0000117,GB,GB,2024-08-02,2024-08-26,107381.8,1746443.3,sea,CNT808715
SHIP0000113,TXN0000118,GB,IE,2024-12-07,2024-12-30,1392.2,27627.63,air,CNT440439
SHIP0000114,TXN0000119,GB,MY,2023-11-06,2023-11-27,2192558.8,357.44,sea,CNT613237
SHIP0000115,TXN0000120,NG,GB,2022-11-12,2022-11-26,3271552.6,168.46,road,CNT579414
SHIP0000116,TXN0000121,GB,SG,2022-08-10,2022-08-15,9380.9,6807.63,air,CNT241603
SHIP0000117,TXN0000122,IE,GB,2024-07-28,2024-08-28,7063.9,83770.17,sea,CNT634457
SHIP0000118,TXN0000123,GB,KE,2024-10-02,2024-11-04,3455.9,13618.39,sea,CNT125406
SHIP0000119,TXN0000124,GB,NG,2022-02-16,2022-03-15,15242.6,136158.7,air,CNT822733
SHIP0000120,TXN0000125,GB,JP,2022-08-28,2022-09-20,4858126.0,3359.07,sea,CNT697263
SHIP0000121,TXN0000126,JP,GB,2024-01-24,2024-02-26,195.0,85328.58,air,CNT665102
SHIP0000122,TXN0000127,CA,GB,2022-07-06,2022-08-08,51797.4,197.2,road,CNT206844
SHIP0000123,TXN0000128,GB,ZA,2022-02-26,2022-03-24,18401.2,81784.08,sea,CNT460839
SHIP0000124,TXN0000129,GB,QA,2025-01-01,2025-01-14,982.2,141266.96,air,CNT510298
SHIP0000125,TXN0000130,GB,KR,2022-04-25,2022-05-13,2297480.1,5208247.93,air,CNT323310
SHIP0000126,TXN0000131,JP,GB,2022-08-29,2022-09-26,714570.3,16823.1,sea,CNT295805
SHIP0000127,TXN0000132,IE,GB,2024-12-26,2025-01-19,439081.8,1478.1,road,CNT806485
SHIP0000128,TXN0000133,PL,GB,2022-04-22,2022-05-19,43474.1,653.95,sea,CNT340626
SHIP0000129,TXN0000134,TH,GB,2024-05-31,2024-06-13,125.7,25084.43,sea,CNT229511
SHIP0000130,TXN0000135,GB,AE,2023-09-15,2023-09-25,178685.4,118413.75,sea,CNT583414
SHIP0000131,TXN0000136,VN,GB,2023-08-18,2023-08-30,410.5,40428.07,sea,CNT976051
SHIP0000132,TXN0000137,GB,CN,2024-06-29,2024-07-29,2140186.7,15383.96,air,CNT808236
SHIP0000133,TXN0000138,GB,CN,2022-01-30,2022-02-13,515.0,2851.28,road,CNT762929
SHIP0000134,TXN0000139,GB,SG,2022-03-12,2022-04-06,487.0,172751.57,sea,CNT225501
SHIP0000135,TXN0000140,TH,GB,2022-08-06,2022-09-09,64100.8,1548.46,air,CNT386094
SHIP0000136,TXN0000141,KE,GB,2023-06-27,2023-07-05,12719.1,286499.13,sea,CNT161826
SHIP0000137,TXN0000142,GB,PT,2024-11-24,2024-12-07,68430.5,3953.52,air,CNT551641
SHIP0000138,TXN0000143,NG,GB,2022-03-26,2022-04-20,260493.8,2047939.39,air,CNT595568
SHIP0000139,TXN0000144,MY,GB,2023-04-10,2023-04-16,1681049.8,15690.82,sea,CNT732972
SHIP0000140,TXN0000145,CN,GB,2023-04-21,2023-05-03,415.5,31439.11,road,CNT881629
SHIP0000141,TXN0000146,GB,MY,2022-08-12,2022-08-18,378.9,50962.35,sea,CNT293097
SHIP0000142,TXN0000147,AE,GB,2023-01-19,2023-01-31,47452.5,17712.52,road,CNT735871
SHIP0000143,TXN0000148,QA,GB,2022-08-14,,17086.1,5562.71,sea,CNT700676
SHIP0000144,TXN0000149,QA,GB,2022-06-09,2022-06-19,508167.2,68767852.78,sea,CNT638149
SHIP0000145,TXN0000150,GB,GH,2023-08-03,2023-08-10,35968.2,4830.74,road,CNT409384
SHIP0000146,TXN0000152,IT,GB,2023-03-21,2023-04-09,558860.9,2567.29,road,CNT273485
SHIP0000147,TXN0000153,GB,IN,2023-12-04,2023-12-12,58929.2,24498.17,road,CNT373078
SHIP0000148,TXN0000154,AE,GB,2024-01-07,2024-02-10,38319.3,6939.55,sea,CNT311961
SHIP0000149,TXN0000155,GB,IE,2024-07-18,2024-07-24,8304.8,497067.17,air,CNT946729
SHIP0000150,TXN0000156,AU,GB,2024-06-28,2024-07-08,145310.2,179462.83,sea,CNT168775
SHIP0000151,TXN0000157,GB,GB,2024-09-27,2024-10-07,2984436.9,21215.3,sea,CNT306161
SHIP0000152,TXN0000158,GB,PT,2024-06-14,2024-07-16,4324952.4,7831.48,air,CNT543961
SHIP0000153,TXN0000159,GB,JP,2024-10-25,2024-11-05,3323.2,97417.08,sea,CNT302988
SHIP0000154,TXN0000160,GB,AU,2024-12-03,2024-12-20,4435.2,356707.57,sea,CNT770324
SHIP0000155,TXN0000161,GB,TR,2024-04-03,2024-04-21,32893.9,359694.65,sea,CNT939801
SHIP0000156,TXN0000162,GB,NG,2023-06-28,2023-07-15,1123161.3,14419.65,air,CNT593834
SHIP0000157,TXN0000163,GB,SG,2022-12-10,2022-12-28,39117.8,15146.64,sea,CNT901237
SHIP0000158,TXN0000164,CA,GB,2023-09-25,2023-09-30,4332164.6,6850087.56,sea,CNT283527
SHIP0000159,TXN0000165,GB,SG,2024-06-29,2024-07-16,525.5,145695.04,sea,CNT874592
SHIP0000160,TXN0000166,GB,IN,2024-04-14,2024-04-27,107364.1,214461.08,sea,CNT659782
SHIP0000161,TXN0000167,GB,NG,2023-08-01,2023-08-11,934.2,29195.24,sea,CNT903100
SHIP0000162,TXN0000168,GB,NG,2022-04-02,2022-04-21,1967.6,9695.55,road,CNT206576
SHIP0000163,TXN0000169,GB,AU,2022-10-29,2022-11-25,1668.1,137190.13,sea,CNT954048
SHIP0000164,TXN0000170,ES,GB,2023-10-01,2023-10-31,1112.4,108421.34,sea,CNT418779
SHIP0000165,TXN0000171,GB,GH,2023-03-04,2023-03-23,92266.2,13934.88,sea,CNT329594
SHIP0000166,TXN0000172,GB,PT,2023-05-22,2023-06-05,1655.8,67890.15,air,CNT716811
SHIP0000167,TXN0000173,GB,TR,2022-12-03,,12091.9,3636.42,sea,CNT192845
SHIP0000168,TXN0000174,GB,GB,2022-04-02,2022-04-29,3719.1,316676.9,sea,CNT667087
SHIP0000169,TXN0000175,FR,GB,2023-05-29,2023-06-14,6099.3,50134.13,road,CNT723115
SHIP0000170,TXN0000176,ES,GB,2023-05-05,2023-05-27,1541458.6,6303.66,road,CNT679146
SHIP0000171,TXN0000177,GB,EG,2024-05-12,2024-06-10,2369.2,331746.74,road,CNT300072
SHIP0000172,TXN0000178,GB,AE,2022-05-07,2022-05-29,34029.2,1033.47,sea,CNT730125
SHIP0000173,TXN0000179,FR,GB,2023-06-23,2023-07-22,1018.0,65458.89,air,CNT883882
SHIP0000174,TXN0000180,GB,US,2024-08-02,2024-08-14,817773.1,1191.36,air,CNT462187
SHIP0000175,TXN0000181,GB,IN,2022-10-24,2022-11-05,2194516.3,9619953.26,air,CNT764455
SHIP0000176,TXN0000182,GB,GB,2022-12-16,2023-01-18,123567.5,760896.94,road,CNT391764
SHIP0000177,TXN0000183,FR,GB,2022-04-14,2022-05-16,7962.7,218032.21,air,CNT910412
SHIP0000178,TXN0000185,IE,GB,2024-08-03,2024-08-31,93158.9,498277.65,road,CNT387742
SHIP0000179,TXN0000186,GB,GB,2023-06-17,2023-06-28,2288.6,29050.85,sea,CNT409150
SHIP0000180,TXN0000187,GB,ES,2023-04-12,2023-05-10,2104.1,732303.6,sea,CNT574288
SHIP0000181,TXN0000188,BR,GB,2024-04-05,2024-04-30,3061.8,110004.51,sea,CNT550726
SHIP0000182,TXN0000189,GB,GB,2023-05-06,2023-06-09,134.4,75031.73,sea,CNT935560
SHIP0000183,TXN0000190,GH,GB,2023-03-21,2023-03-29,5906746.3,15034.56,sea,CNT683066
SHIP0000184,TXN0000191,VN,GB,2024-04-19,2024-05-11,993.8,27738.58,sea,CNT158380
SHIP0000185,TXN0000192,BR,GB,2022-11-12,2022-11-25,34858.2,1666339.04,road,CNT462987
SHIP0000186,TXN0000193,BR,GB,2024-07-29,2024-08-14,1813.4,410423.75,road,CNT208695
SHIP0000187,TXN0000194,GB,US,2022-10-24,2022-11-02,3406.4,85954.79,sea,CNT951166
SHIP0000188,TXN0000196,ES,GB,2022-10-11,2022-10-26,254837.1,467006.44,sea,CNT129725
SHIP0000189,TXN0000197,GB,KE,2023-11-30,2023-12-22,177451.5,1893151.64,air,CNT970790
SHIP0000190,TXN0000198,MY,GB,2023-04-27,2023-05-12,317089.7,6309.28,air,CNT940481
SHIP0000191,TXN0000199,GB,KE,2022-09-27,2022-10-06,25613.7,385953.2,sea,CNT911984
SHIP0000192,TXN0000200,GB,IT,2024-04-04,2024-04-28,90469.8,3353.86,road,CNT298467
SHIP0000193,TXN0000201,QA,GB,2024-10-27,2024-11-06,521014.9,4130.99,road,CNT948810
SHIP0000194,TXN0000202,JP,GB,2022-02-07,2022-02-12,186371.1,58487.71,road,CNT724350
SHIP0000195,TXN0000203,GB,EG,2023-09-18,2023-10-06,302267.2,2921203.06,air,CNT773407
SHIP0000196,TXN0000204,GB,VN,2024-03-06,2024-03-23,1387.7,21109.34,sea,CNT285001
SHIP0000197,TXN0000205,IE,GB,2024-03-05,2024-03-22,2.9,17199.46,sea,CNT602303
SHIP0000198,TXN0000206,BR,GB,2022-09-03,2022-09-30,922114.2,6701.59,sea,CNT828388
SHIP0000199,TXN0000207,GB,QA,2022-05-14,2022-05-26,91007.3,32486.87,air,CNT120997
SHIP0000200,TXN0000208,GB,QA,2023-07-21,2023-08-16,600912.3,48970.45,road,CNT815907
SHIP0000201,TXN0000209,GB,NL,2023-12-04,2023-12-31,3040.8,42344.1,air,CNT504658
SHIP0000202,TXN0000210,GB,SA,2022-11-19,2022-12-02,804877.3,15248.88,sea,CNT123589
SHIP0000203,TXN0000211,GB,GB,2023-02-12,2023-02-23,407064.6,3771.51,sea,CNT831120
SHIP0000204,TXN0000212,FR,GB,2023-08-13,2023-08-27,4219.5,5588.47,sea,CNT545943
SHIP0000205,TXN0000213,GB,US,2023-05-14,2023-06-05,553.6,42161.68,air,CNT537510
SHIP0000206,TXN0000214,GB,KR,2023-06-22,2023-07-10,133.2,114587.02,sea,CNT239531
SHIP0000207,TXN0000215,GB,IE,2024-01-21,2024-02-03,17849.7,105777.36,sea,CNT261644
SHIP0000208,TXN0000216,GB,FR,2024-12-19,,97269.8,2297523.29,sea,CNT601842
SHIP0000209,TXN0000217,GB,IE,2024-05-29,2024-06-20,65884.3,1104624.64,sea,CNT128787
SHIP0000210,TXN0000218,GB,GH,2022-01-18,,1493196.7,9988.38,road,CNT618732
SHIP0000211,TXN0000219,GB,EG,2023-01-23,2023-02-13,22154.1,3694.05,sea,CNT573270
SHIP0000212,TXN0000220,QA,GB,2022-01-20,2022-02-13,940.5,95449.73,road,CNT694129
SHIP0000213,TXN0000221,GB,IE,2024-08-17,2024-08-22,303.5,229239.71,sea,CNT869359
SHIP0000214,TXN0000222,GB,NL,2023-12-11,2024-01-07,186372.0,15540.14,sea,CNT588278
SHIP0000215,TXN0000223,CA,GB,2022-09-03,2022-09-14,19653.4,2556.11,sea,CNT462361
SHIP0000216,TXN0000224,GB,SG,2024-07-14,2024-08-06,3081.6,89764.12,road,CNT138017
SHIP0000217,TXN0000225,GB,SG,2023-09-12,2023-10-16,979.0,56817.98,road,CNT988566
SHIP0000218,TXN0000226,AE,GB,2022-03-05,2022-03-23,1644.1,147111.89,road,CNT804055
SHIP0000219,TXN0000227,GB,IN,2022-06-17,2022-06-25,11888.7,760336.24,air,CNT312885
SHIP0000220,TXN0000228,GB,MY,2024-06-15,2024-06-27,84710.3,1424.75,sea,CNT904382
SHIP0000221,TXN0000229,PL,GB,2022-11-19,2022-12-06,984.2,47230.87,road,CNT312385
SHIP0000222,TXN0000230,GB,PT,2023-08-01,2023-08-27,2944200.0,5671.83,air,CNT832606
SHIP0000223,TXN0000231,FR,GB,2024-09-17,2024-10-05,62799.8,660225.98,road,CNT124538
SHIP0000224,TXN0000232,GB,AE,2022-11-16,2022-12-16,796616.2,13846.77,air,CNT563518
SHIP0000225,TXN0000233,GB,IN,2022-01-22,2022-02-15,1201958.8,27960.59,air,CNT277049
SHIP0000226,TXN0000234,GB,IN,2022-04-05,2022-05-02,36279.9,5803.7,sea,CNT656094
SHIP0000227,TXN0000235,GB,VN,2024-10-03,,8924.2,23634.0,sea,CNT625372
SHIP0000228,TXN0000236,GB,IT,2023-10-26,2023-11-28,482.7,37916.6,sea,CNT543295
SHIP0000229,TXN0000237,GB,SA,2022-12-28,2023-01-06,1558681.9,13509.13,air,CNT325437
SHIP0000230,TXN0000238,GB,JP,2022-04-01,2022-04-28,2363.0,189790.51,sea,CNT198088
SHIP0000231,TXN0000239,GB,AU,2024-02-06,2024-03-09,105933.3,2641.31,air,CNT118287
SHIP0000232,TXN0000240,GB,NL,2022-02-19,2022-03-16,4417.6,13555.29,sea,CNT426578
SHIP0000233,TXN0000241,GB,PL,2022-04-16,2022-04-27,722336.1,17946.24,air,CNT996528
SHIP0000234,TXN0000242,IT,GB,2023-10-18,2023-11-11,744332.8,8071.66,sea,CNT734795
SHIP0000235,TXN0000243,GB,QA,2023-12-12,2024-01-11,20980.2,12986.75,air,CNT322707
SHIP0000236,TXN0000244,NG,GB,2023-09-21,2023-10-03,1311381.3,7351.9,air,CNT824140
SHIP0000237,TXN0000245,GB,SG,2024-10-01,2024-10-14,103924.4,19249.1,air,CNT211409
SHIP0000238,TXN0000246,GB,AU,2022-10-25,2022-11-08,62928.0,529659.27,sea,CNT876122
SHIP0000239,TXN0000247,IT,GB,2023-09-03,2023-09-28,5746.1,173231.31,road,CNT781231
SHIP0000240,TXN0000248,IN,GB,2022-12-04,2022-12-23,515903.3,1292.95,sea,CNT726351
SHIP0000241,TXN0000249,GB,US,2023-02-05,2023-03-06,699.7,9983.17,sea,CNT759807
SHIP0000242,TXN0000250,GB,QA,2022-06-24,2022-07-13,55346.0,8831.49,air,CNT492374
SHIP0000243,TXN0000251,JP,GB,2024-05-25,2024-06-19,2413.0,25865.35,sea,CNT792472
SHIP0000244,TXN0000252,GB,NG,2024-02-13,2024-03-18,6794.2,272861.77,air,CNT251252
SHIP0000245,TXN0000253,GB,VN,2024-02-25,2024-03-26,15127.2,164567.57,sea,CNT137129
SHIP0000246,TXN0000254,GB,DE,2022-06-08,2022-07-02,3637.4,12485.08,sea,CNT605444
SHIP0000247,TXN0000255,GB,KR,2022-05-15,2022-06-14,3413.7,7814.84,air,CNT218760
SHIP0000248,TXN0000256,ZA,GB,2024-05-12,2024-06-01,10783.5,22384.28,air,CNT246101
SHIP0000249,TXN0000257,ES,GB,2024-01-07,2024-02-07,34886.1,267865.64,air,CNT126465
SHIP0000250,TXN0000258,GB,JP,2022-02-06,2022-03-12,2790568.1,7466.03,road,CNT327433
SHIP0000251,TXN0000259,GB,TR,2024-01-02,2024-01-23,4772.5,23941.53,sea,CNT151551
SHIP0000252,TXN0000260,GB,VN,2024-12-17,2025-01-08,1101665.8,1641.44,road,CNT777851
SHIP0000253,TXN0000261,CN,GB,2024-04-07,2024-04-27,46024.0,1501029.9,sea,CNT664469
SHIP0000254,TXN0000262,GH,GB,2022-11-06,2022-11-11,2069964.6,5519.42,road,CNT160382
SHIP0000255,TXN0000263,GB,AU,2022-12-16,2023-01-15,890605.8,7257.99,air,CNT209825
SHIP0000256,TXN0000264,ES,GB,2024-04-13,2024-05-04,184153.0,26325767.77,road,CNT360958
SHIP0000257,TXN0000265,GB,IE,2023-03-21,2023-04-11,4315.5,40371.1,air,CNT991523
SHIP0000258,TXN0000266,GB,KE,2024-03-21,2024-04-15,40727.4,20125.14,road,CNT991852
SHIP0000259,TXN0000267,GB,QA,2024-11-26,2024-12-25,3946.8,250825.5,road,CNT886009
