transaction_intermediary_id,transaction_id,intermediary_id,intermediary_role,sequence_order,role_start_date,role_end_date,source_confidence
TI0000178,TXN0000745,INTM00038,freight_forwarder,1,2022-04-28,2022-05-19,high
TI0000179,TXN0000595,INTM00038,freight_forwarder,1,2023-12-05,2023-12-18,high
TI0000180,TXN0001366,INTM00038,freight_forwarder,1,2024-08-31,2024-09-28,high
TI0000181,TXN0004462,INTM00038,freight_forwarder,1,2024-12-15,2025-01-05,high
TI0000182,TXN0003885,INTM00038,freight_forwarder,1,2023-07-29,2023-08-06,high
TI0000183,TXN0001755,INTM00038,freight_forwarder,1,2023-03-04,2023-04-02,high
TI0000184,TXN0005636,INTM00038,freight_forwarder,1,2022-02-02,2022-03-01,high
TI0000185,TXN0005751,INTM00038,freight_forwarder,1,2023-07-11,2023-07-21,high
TI0000186,TXN0000715,INTM00038,freight_forwarder,1,2024-10-07,2024-10-14,high
TI0000187,TXN0000152,INTM00038,freight_forwarder,1,2023-03-19,2023-04-03,high
TI0000188,TXN0005797,INTM00038,freight_forwarder,1,2023-03-10,2023-04-06,high
TI0000189,TXN0003387,INTM00038,freight_forwarder,1,2022-02-16,2022-03-08,high
TI0000190,TXN0004811,INTM00038,freight_forwarder,1,2023-09-23,2023-10-20,high
TI0000191,TXN0004223,INTM00038,freight_forwarder,1,2022-08-15,2022-09-09,high
TI0000192,TXN0005125,INTM00038,freight_forwarder,1,2023-09-29,2023-10-04,high
TI0000193,TXN0002586,INTM00038,freight_forwarder,1,2023-10-27,2023-11-18,high
TI0000194,TXN0002771,INTM00038,freight_forwarder,1,2023-09-10,2023-09-23,high
TI0000195,TXN0005792,INTM00038,freight_forwarder,1,2024-08-30,2024-09-28,high
TI0000196,TXN0003940,INTM00038,freight_forwarder,1,2024-05-21,2024-05-31,high
TI0000197,TXN0001798,INTM00038,freight_forwarder,1,2023-10-11,2023-11-01,high
TI0000198,TXN0002689,INTM00038,freight_forwarder,1,2023-05-15,2023-06-13,high
TI0000199,TXN0000142,INTM00038,freight_forwarder,1,2024-11-20,2024-12-14,high
TI0000200,TXN0005984,INTM00038,freight_forwarder,1,2022-11-06,2022-11-18,high
TI0000201,TXN0004107,INTM00038,freight_forwarder,1,2022-02-10,2022-03-11,high
TI0000202,TXN0003007,INTM00038,freight_forwarder,1,2023-12-07,2023-12-25,high
TI0000203,TXN0003088,INTM00038,freight_forwarder,1,2024-02-03,2024-02-28,high
TI0000204,TXN0005977,INTM00038,freight_forwarder,1,2023-12-04,2023-12-19,high
TI0000205,TXN0003651,INTM00038,freight_forwarder,1,2022-06-04,2022-06-25,high
TI0000206,TXN0001088,INTM00038,freight_forwarder,1,2022-05-03,2022-05-21,high
TI0000207,TXN0003316,INTM00038,freight_forwarder,1,2024-01-20,2024-02-09,high
TI0000208,TXN0000225,INTM00038,freight_forwarder,1,2023-09-09,2023-09-30,high
TI0000209,TXN0004320,INTM00038,freight_forwarder,1,2023-02-05,2023-03-03,high
TI0000210,TXN0004233,INTM00038,freight_forwarder,1,2023-02-02,2023-02-15,high
TI0000211,TXN0002841,INTM00038,freight_forwarder,1,2024-02-08,2024-02-28,high
TI0000212,TXN0004703,INTM00038,freight_forwarder,1,2023-02-10,2023-03-09,high
TI0000213,TXN0000410,INTM00038,freight_forwarder,1,2023-03-05,2023-03-30,high
TI0000214,TXN0000516,INTM00038,freight_forwarder,1,2022-05-04,2022-05-14,high
TI0000215,TXN0000347,INTM00038,freight_forwarder,1,2024-02-12,2024-02-24,high
TI0000216,TXN0003099,INTM00038,freight_forwarder,1,2023-11-12,2023-12-08,high
TI0000217,TXN0000182,INTM00038,freight_forwarder,1,2022-12-13,2023-01-10,high
TI0000218,TXN0001464,INTM00038,freight_forwarder,1,2023-04-23,2023-05-12,high
TI0000219,TXN0005786,INTM00038,freight_forwarder,1,2024-10-16,2024-10-31,high
TI0000220,TXN0001155,INTM00038,freight_forwarder,1,2022-02-09,2022-03-09,high
TI0000221,TXN0005739,INTM00038,freight_forwarder,1,2024-04-12,2024-04-19,high
TI0000222,TXN0004729,INTM00038,freight_forwarder,1,2023-06-15,2023-07-10,high
TI0000223,TXN0002331,INTM00038,freight_forwarder,1,2024-02-22,2024-03-22,high
TI0000224,TXN0004374,INTM00038,freight_forwarder,1,2022-01-23,2022-02-15,high
TI0000225,TXN0004030,INTM00038,freight_forwarder,1,2022-03-02,2022-03-16,high
TI0000226,TXN0003732,INTM00038,freight_forwarder,1,2023-08-23,2023-09-05,high
TI0000227,TXN0000318,INTM00038,freight_forwarder,1,2024-04-04,2024-04-17,high
TI0000228,TXN0000391,INTM00038,freight_forwarder,1,2023-11-01,2023-11-11,high
TI0000229,TXN0004242,INTM00038,freight_forwarder,1,2023-08-23,2023-09-03,high
TI0000230,TXN0002280,INTM00038,freight_forwarder,1,2024-09-08,2024-10-05,high
TI0000231,TXN0002738,INTM00038,freight_forwarder,1,2022-03-09,2022-03-28,high
TI0000232,TXN0003933,INTM00038,freight_forwarder,1,2024-09-02,2024-09-10,high
TI0000233,TXN0002992,INTM00038,freight_forwarder,1,2022-07-11,2022-07-21,high
TI0000234,TXN0002136,INTM00038,freight_forwarder,1,2023-06-21,2023-06-26,high
TI0000235,TXN0000609,INTM00038,freight_forwarder,1,2024-10-23,2024-11-17,high
TI0000236,TXN0005887,INTM00038,freight_forwarder,1,2024-10-31,2024-11-25,high
TI0000237,TXN0002345,INTM00038,freight_forwarder,1,2023-09-15,2023-10-06,high
TI0000238,TXN0004794,INTM00038,freight_forwarder,1,2023-08-15,2023-09-09,high
TI0000239,TXN0001096,INTM00038,freight_forwarder,1,2024-02-07,2024-02-20,high
TI0000240,TXN0001992,INTM00038,freight_forwarder,1,2023-05-07,2023-06-03,high
TI0000241,TXN0000039,INTM00038,freight_forwarder,1,2024-07-05,2024-08-01,high
TI0000242,TXN0000364,INTM00038,freight_forwarder,1,2022-09-16,2022-10-09,high
TI0000243,TXN0002478,INTM00038,freight_forwarder,1,2023-02-15,2023-02-24,high
TI0000244,TXN0001982,INTM00038,freight_forwarder,1,2023-05-18,2023-06-12,high
TI0000245,TXN0000626,INTM00038,freight_forwarder,1,2022-05-28,2022-06-11,high
TI0000246,TXN0001350,INTM00038,freight_forwarder,1,2024-04-23,2024-05-01,high
TI0000247,TXN0001113,INTM00038,freight_forwarder,1,2023-10-20,2023-11-16,high
TI0000248,TXN0004569,INTM00038,freight_forwarder,1,2022-12-27,2023-01-16,high
TI0000249,TXN0001847,INTM00038,freight_forwarder,1,2024-08-24,2024-09-10,high
TI0000250,TXN0001956,INTM00038,freight_forwarder,1,2022-10-02,2022-10-29,high
TI0000251,TXN0002720,INTM00038,freight_forwarder,1,2024-11-18,2024-11-26,high
TI0000252,TXN0001118,INTM00038,freight_forwarder,1,2022-11-22,2022-12-19,high
TI0000253,TXN0001445,INTM00038,freight_forwarder,1,2022-02-03,2022-02-16,high
TI0000254,TXN0001230,INTM00038,freight_forwarder,1,2023-04-25,2023-05-22,high
TI0000255,TXN0005716,INTM00038,freight_forwarder,1,2023-07-28,2023-08-02,high
TI0000256,TXN0003689,INTM00038,freight_forwarder,1,2022-02-13,2022-03-07,high
TI0000257,TXN0005516,INTM00038,freight_forwarder,1,2024-07-21,2024-08-03,high
TI0000258,TXN0005183,INTM00038,freight_forwarder,1,2023-04-25,2023-05-09,high
TI0000259,TXN0001491,INTM00038,freight_forwarder,1,2022-08-18,2022-09-16,high
TI0000260,TXN0000272,INTM00038,freight_forwarder,1,2022-03-24,2022-04-02,high
TI0000261,TXN0002693,INTM00038,freight_forwarder,1,2022-12-15,2022-12-24,high
TI0000262,TXN0002168,INTM00038,freight_forwarder,1,2022-01-17,2022-01-23,high
TI0000263,TXN0003645,INTM00038,freight_forwarder,1,2023-08-13,2023-09-04,high
TI0000264,TXN0000943,INTM00038,freight_forwarder,1,2024-09-11,2024-09-18,high
TI0000265,TXN0001119,INTM00038,freight_forwarder,1,2024-01-18,2024-02-16,high
TI0000266,TXN0001240,INTM00038,freight_forwarder,1,2022-01-20,2022-01-28,high
TI0000267,TXN0003770,INTM00038,freight_forwarder,1,2022-06-30,2022-07-19,high
TI0000268,TXN0001060,INTM00038,freight_forwarder,1,2024-03-04,2024-03-23,high
TI0000269,TXN0002524,INTM00038,freight_forwarder,1,2022-08-12,2022-08-26,high
TI0000270,TXN0001568,INTM00038,freight_forwarder,1,2022-11-18,2022-11-23,high
TI0000271,TXN0000187,INTM00038,freight_forwarder,1,2023-04-03,2023-04-26,high
TI0000272,TXN0001542,INTM00038,freight_forwarder,1,2023-10-17,2023-10-26,high
TI0000273,TXN0004888,INTM00038,freight_forwarder,1,2023-03-16,2023-03-27,high
TI0000274,TXN0001100,INTM00038,freight_forwarder,1,2024-01-30,2024-02-12,high
TI0000275,TXN0003491,INTM00038,freight_forwarder,1,2023-01-02,2023-01-21,high
TI0000276,TXN0004937,INTM00038,freight_forwarder,1,2023-03-21,2023-04-11,high
TI0000277,TXN0005803,INTM00038,freight_forwarder,1,2022-11-19,2022-12-17,high
TI0000278,TXN0002986,INTM00038,freight_forwarder,1,2023-04-30,2023-05-26,high
TI0000279,TXN0000223,INTM00038,freight_forwarder,1,2022-08-29,2022-09-17,high
TI0000280,TXN0001081,INTM00038,freight_forwarder,1,2023-02-04,2023-02-19,high
TI0000281,TXN0003293,INTM00038,freight_forwarder,1,2022-09-22,2022-10-20,high
TI0000282,TXN0003414,INTM00038,freight_forwarder,1,2022-02-10,2022-02-23,high
TI0000283,TXN0005870,INTM00038,freight_forwarder,1,2022-01-06,2022-01-23,high
TI0000284,TXN0002618,INTM00038,freight_forwarder,1,2024-11-11,2024-11-28,high
TI0000285,TXN0002615,INTM00038,freight_forwarder,1,2022-08-21,2022-09-02,high
TI0000286,TXN0002566,INTM00038,freight_forwarder,1,2023-02-11,2023-03-02,high
TI0000287,TXN0001665,INTM00038,freight_forwarder,1,2022-12-03,2022-12-25,high
TI0000288,TXN0001209,INTM00038,freight_forwarder,1,2023-04-03,2023-04-16,high
TI0000289,TXN0005615,INTM00038,freight_forwarder,1,2022-04-22,2022-04-27,high
TI0000290,TXN0003835,INTM00038,freight_forwarder,1,2022-03-30,2022-04-20,high
TI0000291,TXN0005162,INTM00038,freight_forwarder,1,2024-05-17,2024-05-26,high
TI0000292,TXN0004922,INTM00038,freight_forwarder,1,2022-05-05,2022-05-19,high
TI0000293,TXN0005259,INTM00038,freight_forwarder,1,2022-09-11,2022-10-08,high
TI0000294,TXN0002911,INTM00038,freight_forwarder,1,2024-10-24,2024-11-02,high
TI0000295,TXN0001729,INTM00038,freight_forwarder,1,2024-02-20,2024-02-26,high
TI0000296,TXN0000893,INTM00038,freight_forwarder,1,2024-07-10,2024-08-05,high
TI0000297,TXN0004982,INTM00038,freight_forwarder,1,2024-01-05,2024-01-31,high
TI0000298,TXN0001570,INTM00038,freight_forwarder,1,2022-12-08,2022-12-18,high
TI0000299,TXN0005076,INTM00038,freight_forwarder,1,2024-06-14,2024-06-23,high
TI0000300,TXN0001884,INTM00038,freight_forwarder,1,2024-03-11,2024-04-04,high
TI0000301,TXN0000856,INTM00038,freight_forwarder,1,2023-02-21,2023-03-12,high
TI0000302,TXN0005299,INTM00038,freight_forwarder,1,2023-03-27,2023-04-15,high
TI0000303,TXN0002118,INTM00038,freight_forwarder,1,2023-01-09,2023-02-03,high
TI0000304,TXN0003744,INTM00038,freight_forwarder,1,2024-08-22,2024-09-14,high
TI0000305,TXN0002447,INTM00038,freight_forwarder,1,2023-06-14,2023-06-27,high
TI0000306,TXN0005560,INTM00038,freight_forwarder,1,2022-10-17,2022-10-22,high
TI0000307,TXN0001138,INTM00038,freight_forwarder,1,2024-10-01,2024-10-13,high
TI0000308,TXN0001932,INTM00038,freight_forwarder,1,2022-09-05,2022-09-15,high
