claim_id,transaction_id,customer_id,claim_date,claim_amount,claim_reason,status
CLM0000149,TXN0000898,CUST00067,2024-06-29,4818.34,non-payment_by_buyer,rejected
CLM0000150,TXN0003766,CUST00002,2023-03-18,687083.85,dispute,pending
CLM0000151,TXN0002914,CUST00075,2024-11-03,95038.44,non-payment_by_buyer,paid
CLM0000152,TXN0004033,CUST00081,2022-09-22,3877.92,non-payment_by_buyer,paid
CLM0000153,TXN0004423,CUST00079,2024-01-31,7122572.68,non-payment_by_buyer,paid
CLM0000154,TXN0004047,CUST00144,2023-10-31,722960.86,non-payment_by_buyer,paid
CLM0000155,TXN0004866,CUST00167,2024-10-08,2580.05,non-payment_by_buyer,paid
CLM0000156,TXN0004626,CUST00017,2024-09-21,103038.45,insolvency,paid
CLM0000157,TXN0005590,CUST00068,2022-09-17,139488.77,dispute,rejected
CLM0000158,TXN0004362,CUST00158,2024-06-16,1258.79,non-payment_by_buyer,paid
CLM0000159,TXN0002531,CUST00165,2023-08-24,38076.29,non-payment_by_buyer,paid
CLM0000160,TXN0002855,CUST00088,2024-05-02,1210121.18,insolvency,rejected
CLM0000161,TXN0004744,CUST00001,2022-07-23,7662.86,non-payment_by_buyer,paid
CLM0000162,TXN0003343,CUST00177,2022-11-30,3331.26,insolvency,rejected
CLM0000163,TXN0001941,CUST00062,2024-07-18,141887.39,non-payment_by_buyer,pending
CLM0000164,TXN0003904,CUST00118,2023-11-11,67197.57,non-payment_by_buyer,rejected
CLM0000165,TXN0001314,CUST00083,2023-03-23,2452.24,other,paid
CLM0000166,TXN0005946,CUST00133,2023-08-21,35604.9,non-payment_by_buyer,paid
CLM0000167,TXN0002784,CUST00048,2023-06-07,135605.95,non-payment_by_buyer,pending
CLM0000168,TXN0002635,CUST00041,2023-08-15,198724.53,non-payment_by_buyer,rejected
CLM0000169,TXN0005978,CUST00007,2023-03-15,801107.17,insolvency,paid
CLM0000170,TXN0002211,CUST00165,2022-07-01,41360.66,non-payment_by_buyer,paid
CLM0000171,TXN0001368,CUST00080,2023-06-21,691496.44,non-payment_by_buyer,rejected
CLM0000172,TXN0001535,CUST00018,2024-10-29,6025.41,insolvency,pending
CLM0000173,TXN0004314,CUST00176,2024-02-13,296382.36,non-payment_by_buyer,paid
CLM0000174,TXN0004243,CUST00165,2024-06-23,304187.08,dispute,pending
CLM0000175,TXN0003073,CUST00074,2023-02-08,237957.51,insolvency,paid
CLM0000176,TXN0001588,CUST00033,2023-04-02,103581.46,other,rejected
CLM0000177,TXN0002723,CUST00080,2025-02-09,4278.41,non-payment_by_buyer,paid
CLM0000178,TXN0001125,CUST00013,2022-11-21,70055.24,other,rejected
CLM0000179,TXN0005859,CUST00084,2023-01-21,194885.23,dispute,paid
CLM0000180,TXN0000895,CUST00007,2023-09-05,3721.87,non-payment_by_buyer,paid
