transaction_id,customer_id,counterparty_id,product_id,destination_country_id,transaction_date,invoice_value,currency,incoterm,direction,stated_purpose
TXN0000048,CUST00158,CPTY00049,PROD0012,US,2024-08-11,2534.88,GBP,EXW,export,Distribution contract
TXN0000049,CUST00029,CPTY00173,PROD0013,SA,2024-03-27,1893570.0,GBP,EXW,export,Standard trade shipment
TXN0000050,CUST00057,CPTY00166,PROD0001,ES,2023-01-17,101142.79,EUR,DAP,export,Distribution contract
TXN0000051,CUST00038,CPTY00173,PROD0015,MY,2023-04-11,50988.57,USD,FOB,import,Standard trade shipment
TXN0000052,CUST00020,CPTY00112,PROD0006,FR,2022-02-21,26334059.98,USD,EXW,import,Component supply order
TXN0000053,CUST00001,CPTY00137,PROD0012,IT,2022-04-22,6079.31,GBP,DAP,export,Distribution contract
TXN0000054,CUST00015,CPTY00170,PROD0006,US,2024-11-12,42688649.88,USD,CIF,import,Distribution contract
TXN0000055,CUST00095,CPTY00121,PROD0008,AU,2022-02-28,1768.91,USD,DAP,import,Bulk commodity sale
TXN0000056,CUST00028,CPTY00202,PROD0013,SA,2024-07-06,1748038.27,USD,EXW,export,Bulk commodity sale
TXN0000057,CUST00036,CPTY00185,PROD0017,GH,2022-08-17,6025.71,GBP,FOB,export,Distribution contract
TXN0000058,CUST00022,CPTY00079,PROD0016,PT,2023-08-17,138218.59,GBP,FOB,export,Standard trade shipment
TXN0000059,CUST00131,CPTY00159,PROD0014,IN,2024-03-02,3135.58,GBP,EXW,import,Distribution contract
TXN0000060,CUST00115,CPTY00197,PROD0010,US,2024-12-22,9578.21,EUR,FOB,export,Distribution contract
TXN0000061,CUST00174,CPTY00128,PROD0010,AE,2023-02-14,5920.43,GBP,CIF,export,Distribution contract
TXN0000062,CUST00021,CPTY00186,PROD0018,PL,2024-10-10,8087.44,USD,EXW,export,Commercial goods sale
TXN0000063,CUST00038,CPTY00033,PROD0004,ES,2023-05-13,89880.71,EUR,FOB,export,Distribution contract
TXN0000064,CUST00083,CPTY00101,PROD0018,IT,2024-08-08,2530.64,USD,EXW,export,Wholesale supply agreement
TXN0000065,CUST00117,CPTY00183,PROD0012,SG,2022-04-22,3770.28,GBP,CIF,import,Bulk commodity sale
TXN0000066,CUST00024,CPTY00233,PROD0012,QA,2022-10-21,787.27,GBP,CIF,export,Standard trade shipment
TXN0000067,CUST00039,CPTY00168,PROD0011,IT,2023-11-14,2912821.3,USD,FCA,import,Bulk commodity sale
TXN0000068,CUST00076,CPTY00173,PROD0015,FR,2024-02-13,18590.95,EUR,FCA,import,Wholesale supply agreement
TXN0000069,CUST00004,CPTY00089,PROD0013,JP,2024-05-30,20745.82,EUR,CIF,import,Commercial goods sale
TXN0000070,CUST00072,CPTY00183,PROD0002,AU,2023-01-28,35576.77,GBP,FCA,export,Distribution contract
TXN0000071,CUST00137,CPTY00093,PROD0015,PL,2023-11-16,119432.7,EUR,CIF,import,Distribution contract
TXN0000072,CUST00095,CPTY00014,PROD0014,FR,2023-11-12,56910.05,GBP,CIF,import,Distribution contract
TXN0000073,CUST00079,CPTY00065,PROD0017,TR,2024-12-15,598.01,USD,FCA,export,Commercial goods sale
TXN0000074,CUST00088,CPTY00159,PROD0017,SG,2022-05-09,9668.59,GBP,FOB,export,Wholesale supply agreement
TXN0000075,CUST00171,CPTY00251,PROD0018,PT,2022-01-18,3413.25,GBP,CIF,export,Bulk commodity sale
TXN0000076,CUST00094,CPTY00129,PROD0001,NG,2023-09-23,117832.78,USD,FCA,import,Component supply order
TXN0000077,CUST00097,CPTY00224,PROD0012,AE,2022-01-18,6117.52,GBP,FCA,export,Component supply order
TXN0000078,CUST00168,CPTY00203,PROD0017,AE,2022-08-03,6259.47,EUR,FCA,import,Standard trade shipment
TXN0000079,CUST00029,CPTY00146,PROD0018,IT,2023-07-03,3754.35,GBP,FCA,import,Standard trade shipment
TXN0000080,CUST00018,CPTY00210,PROD0010,EG,2022-10-21,9557.76,EUR,FCA,import,Standard trade shipment
TXN0000081,CUST00081,CPTY00105,PROD0017,VN,2022-10-19,1196.72,GBP,EXW,import,Distribution contract
TXN0000082,CUST00058,CPTY00116,PROD0016,TR,2023-01-15,122066.2,GBP,CIF,import,Wholesale supply agreement
TXN0000083,CUST00037,CPTY00192,PROD0001,EG,2024-01-23,59610.3,GBP,CIF,export,Commercial goods sale
TXN0000084,CUST00022,CPTY00167,PROD0016,ES,2023-02-05,44517.57,USD,FOB,export,Commercial goods sale
TXN0000085,CUST00159,CPTY00138,PROD0012,QA,2024-05-19,5944.67,USD,FOB,import,Wholesale supply agreement
TXN0000086,CUST00111,CPTY00113,PROD0011,IE,2022-06-24,1584990.25,GBP,FCA,export,Distribution contract
TXN0000087,CUST00125,CPTY00254,PROD0004,DE,2022-04-23,87214.27,GBP,FOB,import,Standard trade shipment
TXN0000088,CUST00022,CPTY00018,PROD0017,KR,2022-07-02,3364.43,GBP,DAP,export,Component supply order
TXN0000089,CUST00062,CPTY00015,PROD0006,BR,2024-10-02,20391935.45,USD,CIF,export,Component supply order
TXN0000090,CUST00112,CPTY00125,PROD0008,TH,2022-11-01,5326.98,USD,DAP,import,Wholesale supply agreement
TXN0000091,CUST00096,CPTY00009,PROD0006,GB,2022-02-02,19273820.71,USD,EXW,import,Standard trade shipment
TXN0000092,CUST00126,CPTY00089,PROD0018,US,2022-12-12,5842.93,GBP,FOB,import,Standard trade shipment
TXN0000093,CUST00121,CPTY00148,PROD0009,GH,2024-01-25,26686.1,GBP,CIF,export,Component supply order
TXN0000094,CUST00075,CPTY00106,PROD0003,GB,2023-02-01,109290.23,GBP,DAP,export,Distribution contract
TXN0000095,CUST00141,CPTY00053,PROD0001,DE,2023-02-26,17530.86,EUR,FCA,import,Distribution contract
TXN0000096,CUST00047,CPTY00075,PROD0018,NG,2022-04-05,14054.39,USD,CIF,import,Bulk commodity sale
TXN0000097,CUST00015,CPTY00158,PROD0005,KE,2024-01-02,505182.38,GBP,CIF,export,Commercial goods sale
TXN0000098,CUST00165,CPTY00248,PROD0014,TR,2022-08-30,157881.15,USD,DAP,import,Commercial goods sale
TXN0000099,CUST00005,CPTY00204,PROD0001,MY,2022-04-18,133402.47,USD,EXW,export,Standard trade shipment
TXN0000100,CUST00052,CPTY00143,PROD0017,NL,2024-02-23,7572.41,GBP,FOB,import,Wholesale supply agreement
TXN0000101,CUST00021,CPTY00036,PROD0012,IN,2024-10-24,1828.27,GBP,FOB,export,Wholesale supply agreement
TXN0000102,CUST00042,CPTY00064,PROD0005,VN,2023-11-01,14060.46,USD,CIF,import,Bulk commodity sale
TXN0000103,CUST00072,CPTY00115,PROD0017,PL,2024-10-24,1666.15,USD,CIF,export,Wholesale supply agreement
TXN0000104,CUST00024,CPTY00065,PROD0006,FR,2023-03-17,39553257.61,GBP,FOB,import,Commercial goods sale
TXN0000105,CUST00085,CPTY00180,PROD0018,FR,2023-07-24,2917.68,GBP,DAP,import,Commercial goods sale
TXN0000106,CUST00167,CPTY00096,PROD0011,DE,2023-01-27,567464.38,GBP,EXW,export,Component supply order
TXN0000107,CUST00025,CPTY00217,PROD0009,TR,2023-07-13,62598.34,USD,DAP,export,Standard trade shipment
TXN0000108,CUST00167,CPTY00070,PROD0002,AE,2024-09-05,6146.5,GBP,FOB,export,Commercial goods sale
TXN0000109,CUST00075,CPTY00130,PROD0005,TR,2023-11-27,164492.13,GBP,EXW,import,Wholesale supply agreement
TXN0000110,CUST00107,CPTY00186,PROD0002,JP,2022-01-30,50777.16,GBP,EXW,import,Wholesale supply agreement
TXN0000111,CUST00080,CPTY00054,PROD0016,BR,2023-09-28,167958.5,EUR,EXW,export,Component supply order
TXN0000112,CUST00057,CPTY00198,PROD0002,KR,2023-02-18,3902.51,GBP,FCA,export,Standard trade shipment
TXN0000113,CUST00020,CPTY00153,PROD0003,CN,2023-08-19,95627.52,GBP,EXW,import,Component supply order
TXN0000114,CUST00107,CPTY00169,PROD0003,PL,2023-09-04,5578.46,GBP,EXW,export,Distribution contract
TXN0000115,CUST00165,CPTY00119,PROD0018,EG,2023-10-08,9923.97,USD,FCA,export,Bulk commodity sale
TXN0000116,CUST00094,CPTY00244,PROD0018,CA,2024-08-07,8290.58,EUR,CIF,import,Commercial goods sale
TXN0000117,CUST00108,CPTY00201,PROD0013,GB,2024-07-30,1746443.3,EUR,CIF,import,Distribution contract
TXN0000118,CUST00116,CPTY00050,PROD0002,IE,2024-11-30,27627.63,GBP,FOB,export,Distribution contract
TXN0000119,CUST00070,CPTY00141,PROD0010,MY,2023-11-01,357.44,GBP,DAP,export,Commercial goods sale
TXN0000120,CUST00022,CPTY00235,PROD0018,NG,2022-11-09,168.46,GBP,FOB,import,Wholesale supply agreement
TXN0000121,CUST00092,CPTY00073,PROD0002,SG,2022-08-03,6807.63,USD,CIF,export,Bulk commodity sale
TXN0000122,CUST00157,CPTY00140,PROD0015,IE,2024-07-19,83770.17,USD,EXW,import,Bulk commodity sale
TXN0000123,CUST00057,CPTY00197,PROD0001,KE,2024-09-28,13618.39,GBP,EXW,export,Commercial goods sale
TXN0000124,CUST00157,CPTY00072,PROD0015,NG,2022-02-10,136158.7,USD,FOB,export,Wholesale supply agreement
TXN0000125,CUST00154,CPTY00135,PROD0010,JP,2022-08-25,3359.07,GBP,EXW,export,Distribution contract
TXN0000126,CUST00045,CPTY00144,PROD0016,JP,2024-01-15,85328.58,USD,FCA,import,Wholesale supply agreement
TXN0000127,CUST00104,CPTY00047,PROD0008,CA,2022-07-01,197.2,GBP,FOB,import,Commercial goods sale
TXN0000128,CUST00135,CPTY00045,PROD0015,ZA,2022-02-24,81784.08,GBP,EXW,export,Commercial goods sale
TXN0000129,CUST00090,CPTY00147,PROD0016,QA,2024-12-28,141266.96,GBP,EXW,export,Standard trade shipment
TXN0000130,CUST00126,CPTY00047,PROD0006,KR,2022-04-16,5208247.93,GBP,CIF,export,Distribution contract
TXN0000131,CUST00164,CPTY00247,PROD0012,JP,2022-08-22,16823.1,GBP,EXW,import,Standard trade shipment
TXN0000132,CUST00113,CPTY00137,PROD0009,IE,2024-12-19,1478.1,USD,CIF,import,Bulk commodity sale
TXN0000133,CUST00151,CPTY00184,PROD0008,PL,2022-04-20,653.95,USD,FOB,import,Standard trade shipment
TXN0000134,CUST00145,CPTY00104,PROD0015,TH,2024-05-26,25084.43,USD,FCA,import,Standard trade shipment
TXN0000135,CUST00147,CPTY00078,PROD0005,AE,2023-09-08,118413.75,GBP,FCA,export,Bulk commodity sale
TXN0000136,CUST00154,CPTY00127,PROD0003,VN,2023-08-15,40428.07,EUR,CIF,import,Wholesale supply agreement
TXN0000137,CUST00041,CPTY00185,PROD0009,CN,2024-06-25,15383.96,EUR,FOB,export,Wholesale supply agreement
TXN0000138,CUST00004,CPTY00104,PROD0015,CN,2022-01-24,2851.28,USD,FOB,export,Bulk commodity sale
TXN0000139,CUST00028,CPTY00074,PROD0003,SG,2022-03-08,172751.57,USD,FCA,export,Wholesale supply agreement
TXN0000140,CUST00045,CPTY00038,PROD0007,TH,2022-08-03,1548.46,USD,FCA,import,Component supply order
TXN0000141,CUST00125,CPTY00142,PROD0013,KE,2023-06-22,286499.13,USD,EXW,import,Distribution contract
TXN0000142,CUST00092,CPTY00177,PROD0009,PT,2024-11-20,3953.52,GBP,FCA,export,Commercial goods sale
TXN0000143,CUST00085,CPTY00137,PROD0011,NG,2022-03-17,2047939.39,USD,CIF,import,Bulk commodity sale
TXN0000144,CUST00002,CPTY00067,PROD0010,MY,2023-04-06,15690.82,GBP,EXW,import,Distribution contract
TXN0000145,CUST00124,CPTY00065,PROD0015,CN,2023-04-15,31439.11,USD,FOB,import,Commercial goods sale
TXN0000146,CUST00066,CPTY00099,PROD0016,MY,2022-08-04,50962.35,USD,EXW,export,Wholesale supply agreement
TXN0000147,CUST00137,CPTY00091,PROD0009,AE,2023-01-12,17712.52,EUR,DAP,import,Component supply order
TXN0000148,CUST00021,CPTY00053,PROD0008,QA,2022-08-09,5562.71,GBP,FCA,import,Distribution contract
TXN0000149,CUST00054,CPTY00245,PROD0006,QA,2022-05-31,68767852.78,USD,DAP,import,Wholesale supply agreement
TXN0000150,CUST00010,CPTY00086,PROD0008,GH,2023-07-26,4830.74,USD,DAP,export,Standard trade shipment
TXN0000151,CUST00052,CPTY00066,PROD0016,BR,2024-10-17,77634.67,EUR,DAP,import,Commercial goods sale
TXN0000152,CUST00167,CPTY00158,PROD0010,IT,2023-03-19,2567.29,EUR,DAP,import,Distribution contract
TXN0000153,CUST00089,CPTY00209,PROD0013,IN,2023-11-27,24498.17,GBP,EXW,export,Standard trade shipment
TXN0000154,CUST00080,CPTY00121,PROD0008,AE,2024-01-05,6939.55,EUR,EXW,import,Component supply order
TXN0000155,CUST00050,CPTY00174,PROD0013,IE,2024-07-12,497067.17,EUR,FOB,export,Wholesale supply agreement
TXN0000156,CUST00048,CPTY00025,PROD0013,AU,2024-06-22,179462.83,EUR,FOB,import,Bulk commodity sale
TXN0000157,CUST00121,CPTY00139,PROD0010,GB,2024-09-19,21215.3,USD,DAP,export,Distribution contract
TXN0000158,CUST00178,CPTY00018,PROD0017,PT,2024-06-11,7831.48,USD,EXW,export,Component supply order
TXN0000159,CUST00135,CPTY00148,PROD0016,JP,2024-10-16,97417.08,GBP,FCA,export,Commercial goods sale
TXN0000160,CUST00133,CPTY00154,PROD0003,AU,2024-11-24,356707.57,GBP,FOB,export,Commercial goods sale
TXN0000161,CUST00085,CPTY00054,PROD0005,TR,2024-03-30,359694.65,GBP,CIF,export,Distribution contract
TXN0000162,CUST00018,CPTY00010,PROD0018,NG,2023-06-25,14419.65,USD,CIF,export,Bulk commodity sale
TXN0000163,CUST00131,CPTY00047,PROD0008,SG,2022-12-03,15146.64,EUR,FCA,export,Wholesale supply agreement
TXN0000164,CUST00146,CPTY00201,PROD0006,CA,2023-09-19,6850087.56,USD,CIF,import,Commercial goods sale
TXN0000165,CUST00092,CPTY00153,PROD0015,SG,2024-06-27,145695.04,GBP,DAP,export,Wholesale supply agreement
TXN0000166,CUST00017,CPTY00100,PROD0011,IN,2024-04-05,214461.08,USD,FOB,export,Wholesale supply agreement
TXN0000167,CUST00129,CPTY00254,PROD0003,NG,2023-07-25,29195.24,USD,EXW,export,Distribution contract
TXN0000168,CUST00166,CPTY00101,PROD0002,NG,2022-03-25,9695.55,GBP,EXW,export,Standard trade shipment
TXN0000169,CUST00041,CPTY00229,PROD0015,AU,2022-10-25,137190.13,USD,DAP,export,Bulk commodity sale
TXN0000170,CUST00029,CPTY00090,PROD0014,ES,2023-09-25,108421.34,USD,EXW,import,Commercial goods sale
TXN0000171,CUST00133,CPTY00007,PROD0007,GH,2023-02-27,13934.88,USD,FOB,export,Bulk commodity sale
TXN0000172,CUST00060,CPTY00029,PROD0016,PT,2023-05-15,67890.15,USD,FOB,export,Component supply order
TXN0000173,CUST00129,CPTY00072,PROD0003,TR,2022-11-27,3636.42,GBP,FOB,export,Distribution contract
TXN0000174,CUST00127,CPTY00049,PROD0016,GB,2022-03-25,316676.9,GBP,CIF,export,Wholesale supply agreement
TXN0000175,CUST00048,CPTY00041,PROD0002,FR,2023-05-26,50134.13,USD,DAP,import,Component supply order
TXN0000176,CUST00008,CPTY00100,PROD0012,ES,2023-05-03,6303.66,EUR,CIF,import,Component supply order
TXN0000177,CUST00101,CPTY00254,PROD0016,EG,2024-05-06,331746.74,GBP,FCA,export,Commercial goods sale
TXN0000178,CUST00074,CPTY00053,PROD0012,AE,2022-05-03,1033.47,USD,FOB,export,Component supply order
TXN0000179,CUST00154,CPTY00062,PROD0015,FR,2023-06-16,65458.89,USD,EXW,import,Component supply order
TXN0000180,CUST00065,CPTY00259,PROD0007,US,2024-07-24,1191.36,GBP,DAP,export,Wholesale supply agreement
TXN0000181,CUST00045,CPTY00053,PROD0006,IN,2022-10-21,9619953.26,GBP,FOB,export,Component supply order
TXN0000182,CUST00155,CPTY00216,PROD0005,GB,2022-12-13,760896.94,GBP,EXW,import,Wholesale supply agreement
TXN0000183,CUST00133,CPTY00162,PROD0003,FR,2022-04-06,218032.21,GBP,FOB,import,Standard trade shipment
TXN0000184,CUST00112,CPTY00242,PROD0005,IT,2023-09-22,234629.13,GBP,DAP,export,Bulk commodity sale
TXN0000185,CUST00172,CPTY00145,PROD0005,IE,2024-07-26,498277.65,USD,EXW,import,Commercial goods sale
TXN0000186,CUST00141,CPTY00155,PROD0014,GB,2023-06-12,29050.85,USD,FCA,export,Component supply order
TXN0000187,CUST00156,CPTY00059,PROD0004,ES,2023-04-03,732303.6,USD,DAP,export,Component supply order
TXN0000188,CUST00144,CPTY00150,PROD0003,BR,2024-03-31,110004.51,GBP,CIF,import,Distribution contract
TXN0000189,CUST00073,CPTY00175,PROD0014,GB,2023-04-30,75031.73,GBP,FOB,import,Distribution contract
TXN0000190,CUST00012,CPTY00257,PROD0010,GH,2023-03-13,15034.56,EUR,FOB,import,Distribution contract
TXN0000191,CUST00110,CPTY00026,PROD0004,VN,2024-04-17,27738.58,EUR,FOB,import,Wholesale supply agreement
TXN0000192,CUST00138,CPTY00041,PROD0013,BR,2022-11-08,1666339.04,USD,CIF,import,Component supply order
TXN0000193,CUST00179,CPTY00006,PROD0004,BR,2024-07-20,410423.75,GBP,DAP,import,Component supply order
TXN0000194,CUST00123,CPTY00206,PROD0015,US,2022-10-21,85954.79,EUR,CIF,export,Standard trade shipment
TXN0000195,CUST00103,CPTY00022,PROD0001,IN,2023-07-15,63885.96,USD,FOB,export,Distribution contract
TXN0000196,CUST00104,CPTY00239,PROD0011,ES,2022-10-02,467006.44,GBP,FOB,import,Bulk commodity sale
TXN0000197,CUST00021,CPTY00095,PROD0011,KE,2023-11-25,1893151.64,GBP,EXW,export,Distribution contract
TXN0000198,CUST00002,CPTY00075,PROD0007,MY,2023-04-21,6309.28,GBP,CIF,import,Bulk commodity sale
TXN0000199,CUST00009,CPTY00254,PROD0013,KE,2022-09-20,385953.2,USD,DAP,export,Standard trade shipment
TXN0000200,CUST00163,CPTY00188,PROD0007,IT,2024-03-26,3353.86,USD,CIF,export,Wholesale supply agreement
TXN0000201,CUST00143,CPTY00143,PROD0012,QA,2024-10-21,4130.99,GBP,FOB,import,Component supply order
TXN0000202,CUST00047,CPTY00232,PROD0005,JP,2022-01-31,58487.71,GBP,CIF,import,Distribution contract
TXN0000203,CUST00077,CPTY00197,PROD0011,EG,2023-09-15,2921203.06,GBP,EXW,export,Standard trade shipment
TXN0000204,CUST00088,CPTY00166,PROD0014,VN,2024-02-27,21109.34,USD,FOB,export,Standard trade shipment
TXN0000205,CUST00045,CPTY00084,PROD0018,IE,2024-02-28,17199.46,USD,FOB,import,Component supply order
TXN0000206,CUST00077,CPTY00257,PROD0007,BR,2022-08-30,6701.59,GBP,FCA,import,Distribution contract
TXN0000207,CUST00063,CPTY00188,PROD0009,QA,2022-05-06,32486.87,USD,CIF,export,Wholesale supply agreement
TXN0000208,CUST00126,CPTY00246,PROD0009,QA,2023-07-17,48970.45,EUR,DAP,export,Commercial goods sale
TXN0000209,CUST00137,CPTY00252,PROD0016,NL,2023-11-30,42344.1,GBP,FCA,export,Standard trade shipment
TXN0000210,CUST00018,CPTY00143,PROD0018,SA,2022-11-14,15248.88,USD,FOB,export,Distribution contract
TXN0000211,CUST00084,CPTY00094,PROD0012,GB,2023-02-09,3771.51,GBP,DAP,export,Standard trade shipment
TXN0000212,CUST00179,CPTY00247,PROD0015,FR,2023-08-07,5588.47,GBP,FCA,import,Component supply order
TXN0000213,CUST00157,CPTY00260,PROD0002,US,2023-05-09,42161.68,EUR,FOB,export,Wholesale supply agreement
TXN0000214,CUST00143,CPTY00032,PROD0014,KR,2023-06-14,114587.02,EUR,CIF,export,Standard trade shipment
TXN0000215,CUST00133,CPTY00166,PROD0015,IE,2024-01-18,105777.36,GBP,FOB,export,Wholesale supply agreement
TXN0000216,CUST00001,CPTY00157,PROD0013,FR,2024-12-14,2297523.29,GBP,FOB,export,Bulk commodity sale
TXN0000217,CUST00176,CPTY00195,PROD0011,IE,2024-05-22,1104624.64,GBP,CIF,export,Commercial goods sale
TXN0000218,CUST00133,CPTY00254,PROD0017,GH,2022-01-09,9988.38,USD,FOB,export,Wholesale supply agreement
TXN0000219,CUST00160,CPTY00066,PROD0012,EG,2023-01-18,3694.05,GBP,FCA,export,Wholesale supply agreement
TXN0000220,CUST00164,CPTY00254,PROD0016,QA,2022-01-11,95449.73,GBP,CIF,import,Wholesale supply agreement
TXN0000221,CUST00046,CPTY00168,PROD0004,IE,2024-08-15,229239.71,GBP,DAP,export,Bulk commodity sale
TXN0000222,CUST00003,CPTY00022,PROD0012,NL,2023-12-08,15540.14,USD,FOB,export,Distribution contract
TXN0000223,CUST00119,CPTY00133,PROD0008,CA,2022-08-29,2556.11,EUR,DAP,import,Wholesale supply agreement
TXN0000224,CUST00083,CPTY00035,PROD0016,SG,2024-07-08,89764.12,GBP,DAP,export,Wholesale supply agreement
TXN0000225,CUST00004,CPTY00249,PROD0016,SG,2023-09-09,56817.98,USD,FOB,export,Bulk commodity sale
TXN0000226,CUST00049,CPTY00199,PROD0016,AE,2022-02-26,147111.89,USD,EXW,import,Standard trade shipment
TXN0000227,CUST00179,CPTY00236,PROD0004,IN,2022-06-15,760336.24,GBP,FCA,export,Component supply order
TXN0000228,CUST00066,CPTY00157,PROD0009,MY,2024-06-06,1424.75,EUR,DAP,export,Standard trade shipment
TXN0000229,CUST00047,CPTY00104,PROD0001,PL,2022-11-14,47230.87,USD,FCA,import,Bulk commodity sale
TXN0000230,CUST00118,CPTY00112,PROD0018,PT,2023-07-29,5671.83,USD,EXW,export,Component supply order
TXN0000231,CUST00120,CPTY00247,PROD0005,FR,2024-09-08,660225.98,USD,CIF,import,Bulk commodity sale
TXN0000232,CUST00060,CPTY00040,PROD0012,AE,2022-11-13,13846.77,GBP,EXW,export,Bulk commodity sale
TXN0000233,CUST00153,CPTY00231,PROD0009,IN,2022-01-13,27960.59,GBP,EXW,export,Standard trade shipment
