cpty_a,cpty_b,evidence_type,n_independent_evidence_types,evidence_buckets,n_evidence_buckets,classification
CPTY00045,CPTY00156,"['declared_relationship_shared_director', 'shared_address', 'shared_bank_account']",3,"['address', 'bank', 'declared']",3,STRONG
CPTY00055,CPTY00246,"['shared_address', 'shared_bank_account', 'shared_email', 'shared_phone']",4,"['address', 'bank', 'email', 'phone']",4,STRONG
CPTY00072,CPTY00252,"['near_duplicate_name', 'shared_address', 'shared_bank_account', 'shared_email', 'shared_phone']",5,"['address', 'bank', 'email', 'name', 'phone']",5,STRONG
CPTY00073,CPTY00141,"['shared_address', 'shared_bank_account']",2,"['address', 'bank']",2,STRONG
CPTY00073,CPTY00218,"['declared_relationship_parent_subsidiary', 'shared_address', 'shared_bank_account']",3,"['address', 'bank', 'declared']",3,STRONG
CPTY00073,CPTY00220,"['shared_address', 'shared_bank_account']",2,"['address', 'bank']",2,STRONG
CPTY00096,CPTY00259,"['shared_address', 'shared_bank_account', 'shared_email', 'shared_phone']",4,"['address', 'bank', 'email', 'phone']",4,STRONG
CPTY00097,CPTY00254,"['shared_address', 'shared_bank_account', 'shared_email', 'shared_phone']",4,"['address', 'bank', 'email', 'phone']",4,STRONG
CPTY00133,CPTY00253,"['shared_address', 'shared_bank_account', 'shared_email', 'shared_phone']",4,"['address', 'bank', 'email', 'phone']",4,STRONG
CPTY00141,CPTY00218,"['shared_address', 'shared_bank_account']",2,"['address', 'bank']",2,STRONG
CPTY00141,CPTY00220,"['declared_relationship_shared_director', 'shared_address', 'shared_bank_account']",3,"['address', 'bank', 'declared']",3,STRONG
CPTY00148,CPTY00156,"['declared_relationship_shared_director', 'shared_address', 'shared_bank_account']",3,"['address', 'bank', 'declared']",3,STRONG
CPTY00152,CPTY00258,"['shared_address', 'shared_bank_account', 'shared_email', 'shared_phone']",4,"['address', 'bank', 'email', 'phone']",4,STRONG
CPTY00155,CPTY00260,"['shared_address', 'shared_bank_account', 'shared_email', 'shared_phone']",4,"['address', 'bank', 'email', 'phone']",4,STRONG
CPTY00183,CPTY00251,"['shared_address', 'shared_bank_account', 'shared_email', 'shared_phone']",4,"['address', 'bank', 'email', 'phone']",4,STRONG
CPTY00195,CPTY00256,"['shared_address', 'shared_bank_account', 'shared_email', 'shared_phone']",4,"['address', 'bank', 'email', 'phone']",4,STRONG
CPTY00199,CPTY00248,"['shared_address', 'shared_bank_account', 'shared_email', 'shared_phone']",4,"['address', 'bank', 'email', 'phone']",4,STRONG
CPTY00218,CPTY00220,"['shared_address', 'shared_bank_account']",2,"['address', 'bank']",2,STRONG
CPTY00219,CPTY00250,"['shared_address', 'shared_bank_account', 'shared_email', 'shared_phone']",4,"['address', 'bank', 'email', 'phone']",4,STRONG
CPTY00224,CPTY00255,"['shared_address', 'shared_bank_account', 'shared_email', 'shared_phone']",4,"['address', 'bank', 'email', 'phone']",4,STRONG
CPTY00236,CPTY00257,"['near_duplicate_name', 'shared_address', 'shared_bank_account', 'shared_email', 'shared_phone']",5,"['address', 'bank', 'email', 'name', 'phone']",5,STRONG
CPTY00005,CPTY00030,['near_duplicate_name'],1,['name'],1,WEAK
CPTY00015,CPTY00043,['near_duplicate_name'],1,['name'],1,WEAK
CPTY00042,CPTY00055,['near_duplicate_name'],1,['name'],1,WEAK
CPTY00047,CPTY00075,['shared_address'],1,['address'],1,WEAK
CPTY00062,CPTY00114,['shared_address'],1,['address'],1,WEAK
CPTY00085,CPTY00176,['near_duplicate_name'],1,['name'],1,WEAK
CPTY00088,CPTY00210,['near_duplicate_name'],1,['name'],1,WEAK
CPTY00097,CPTY00099,['shared_address'],1,['address'],1,WEAK
CPTY00099,CPTY00254,['shared_address'],1,['address'],1,WEAK
CPTY00103,CPTY00202,['shared_address'],1,['address'],1,WEAK
CPTY00111,CPTY00135,['near_duplicate_name'],1,['name'],1,WEAK
CPTY00120,CPTY00165,['shared_address'],1,['address'],1,WEAK
CPTY00146,CPTY00203,['near_duplicate_name'],1,['name'],1,WEAK
